date,open,close,high,low,volume
2025-07-01,19.09,19.3,19.32,18.78,1239334.0
2025-07-02,19.3,19.57,19.83,19.2,1703696.0
2025-07-03,19.77,19.69,19.89,19.48,1373809.0
2025-07-04,19.47,19.45,19.69,19.24,1358556.0
2025-07-07,19.36,19.2,19.42,19.11,834675.0
2025-07-08,19.27,19.22,19.44,19.15,970734.0
2025-07-09,19.29,18.3,19.29,18.27,3338348.0
2025-07-10,18.32,18.24,18.45,18.21,1893273.0
2025-07-11,18.29,18.29,18.6,18.26,2181704.0
2025-07-14,18.67,18.48,18.74,18.41,2305917.0
2025-07-15,18.46,18.52,18.55,18.22,1531483.0
2025-07-16,18.54,18.54,18.58,18.38,926884.0
2025-07-17,18.53,18.47,18.59,18.38,1174559.0
2025-07-18,18.59,18.87,19.1,18.42,2229552.0
2025-07-21,18.96,19.19,19.23,18.9,1730230.0
2025-07-22,19.32,19.65,19.78,19.21,2025790.0
2025-07-23,19.83,19.61,19.88,19.51,1812225.0
2025-07-24,19.4,19.52,19.67,19.23,1610269.0
2025-07-25,19.36,19.25,19.47,19.21,1252965.0
2025-07-28,19.11,19.2,19.2,18.83,1437051.0
2025-07-29,19.0,18.99,19.14,18.91,1296870.0
2025-07-30,19.0,19.22,19.38,18.99,1543618.0
2025-07-31,18.91,18.55,18.92,18.43,2087643.0
2025-08-01,18.5,18.66,18.83,18.45,1219991.0
2025-08-04,18.97,19.28,19.34,18.9,1738260.0
2025-08-05,19.39,19.27,19.42,19.17,1138387.0
2025-08-06,19.21,19.56,19.65,19.18,1428032.0
2025-08-07,19.56,19.7,19.76,19.36,1317182.0
2025-08-08,19.76,19.94,20.1,19.7,1276510.0
2025-08-11,19.91,19.65,19.91,19.59,1409920.0
2025-08-12,19.62,19.7,19.96,19.54,1173534.0
2025-08-13,19.85,20.42,20.57,19.8,1858341.0
2025-08-14,20.43,20.57,20.93,20.37,1388152.0
2025-08-15,20.34,20.69,20.96,20.27,1709805.0
2025-08-18,20.7,20.2,20.77,20.2,2610953.0
2025-08-19,20.21,19.73,20.54,19.68,2352501.0
2025-08-20,19.73,19.96,19.97,19.59,1682986.0
2025-08-21,20.11,20.0,20.2,19.91,1286486.0
2025-08-22,20.05,20.06,20.16,19.85,1489955.0
2025-08-25,20.45,21.61,21.65,20.45,3063300.0
2025-08-26,21.59,21.79,21.95,21.36,1848831.0
2025-08-27,21.89,21.93,22.7,21.72,2388910.0
2025-08-28,21.94,21.92,22.29,21.61,1733705.0
2025-08-29,22.22,22.48,22.88,22.1,2504128.0
