trade_date,wind_code,open,high,low,close,volume,amt
2005-01-04,801050.SI,812.55,816.38,798.63,799.20,30490000,176420000
2005-01-05,801050.SI,798.60,816.52,797.96,810.98,44700000,241990000
2005-01-06,801050.SI,809.00,809.62,787.85,791.31,46030000,259460000
2005-01-07,801050.SI,788.31,798.90,784.63,789.74,44340000,242240000
2005-01-10,801050.SI,789.30,798.43,786.33,798.43,44200000,249920000
2005-01-11,801050.SI,798.16,803.93,794.87,803.93,38610000,231060000
2005-01-12,801050.SI,803.79,812.45,802.95,812.17,47620000,279070000
2005-01-13,801050.SI,810.68,812.92,807.07,809.28,35990000,203140000
2005-01-14,801050.SI,807.89,813.54,796.06,796.99,34210000,196520000
2005-01-17,801050.SI,784.11,790.41,772.59,774.31,37150000,206360000
2005-01-18,801050.SI,774.82,787.38,774.40,787.21,42300000,214330000
2005-01-19,801050.SI,787.01,787.95,780.59,783.90,50770000,222770000
2005-01-20,801050.SI,777.50,780.96,771.24,775.47,56020000,237730000
2005-01-21,801050.SI,773.03,793.54,760.40,793.54,70850000,369320000
2005-01-24,801050.SI,812.83,819.25,800.70,810.04,87100000,487150000
2005-01-25,801050.SI,808.05,811.47,794.54,811.28,64710000,397320000
2005-01-26,801050.SI,808.13,813.43,800.37,801.39,65830000,384470000
2005-01-27,801050.SI,798.08,801.94,785.87,786.01,56700000,325240000
2005-01-28,801050.SI,783.03,788.47,774.08,776.06,64120000,324050000
2005-01-31,801050.SI,770.21,775.70,757.34,759.49,46700000,244090000
2005-02-01,801050.SI,756.91,765.33,748.40,751.26,50090000,243730000
2005-02-02,801050.SI,752.92,796.64,749.69,795.34,94790000,547990000
2005-02-03,801050.SI,795.54,801.60,769.42,782.86,95090000,567430000
2005-02-04,801050.SI,780.73,800.06,779.49,796.91,69630000,408810000
2005-02-16,801050.SI,803.34,817.27,801.84,808.86,76200000,446610000
2005-02-17,801050.SI,807.85,810.76,799.73,810.71,47520000,264310000
2005-02-18,801050.SI,809.72,811.57,800.69,800.69,51440000,277980000
2005-02-21,801050.SI,802.28,825.16,801.78,823.84,99400000,569860000
2005-02-22,801050.SI,823.51,851.61,819.86,850.56,143860000,903020000
2005-02-23,801050.SI,849.95,864.46,843.25,856.22,131290000,825230000
2005-02-24,801050.SI,854.93,862.94,849.58,860.36,107390000,655120000
2005-02-25,801050.SI,858.28,874.81,858.00,860.67,122040000,789290000
2005-02-28,801050.SI,858.26,871.84,858.26,868.21,115790000,743330000
2005-03-01,801050.SI,869.73,879.83,866.33,871.12,134030000,786880000
2005-03-02,801050.SI,872.13,877.48,848.78,848.85,141910000,853830000
2005-03-03,801050.SI,845.95,856.08,838.92,854.48,91330000,529220000
2005-03-04,801050.SI,854.31,856.27,844.15,846.22,63240000,392780000
2005-03-07,801050.SI,847.22,850.99,844.98,849.52,55810000,372630000
