Wind代码,证券简称,2025年一季度至2026年一季度每季净息差,记账本位币,报告期,金融机构类型
000001.SZ,平安银行,1.83,CNY,Q1 FY2025,股份制商业银行
000001.SZ,平安银行,1.8,CNY,Q2 FY2025,股份制商业银行
000001.SZ,平安银行,1.79,CNY,Q3 FY2025,股份制商业银行
000001.SZ,平安银行,1.78,CNY,Q4 FY2025,股份制商业银行
000001.SZ,平安银行,1.79,CNY,Q1 FY2026,股份制商业银行
001227.SZ,兰州银行,1.46,CNY,Q1 FY2025,城市商业银行
001227.SZ,兰州银行,1.37,CNY,Q2 FY2025,城市商业银行
001227.SZ,兰州银行,1.38,CNY,Q3 FY2025,城市商业银行
001227.SZ,兰州银行,1.37,CNY,Q4 FY2025,城市商业银行
001227.SZ,兰州银行,1.39,CNY,Q1 FY2026,城市商业银行
002142.SZ,宁波银行,1.8,CNY,Q1 FY2025,城市商业银行
002142.SZ,宁波银行,1.76,CNY,Q2 FY2025,城市商业银行
002142.SZ,宁波银行,1.76,CNY,Q3 FY2025,城市商业银行
002142.SZ,宁波银行,1.74,CNY,Q4 FY2025,城市商业银行
002142.SZ,宁波银行,1.73,CNY,Q1 FY2026,城市商业银行
002807.SZ,江阴银行,1.51,CNY,Q1 FY2025,农村商业银行
002807.SZ,江阴银行,1.54,CNY,Q2 FY2025,农村商业银行
002807.SZ,江阴银行,1.56,CNY,Q3 FY2025,农村商业银行
002807.SZ,江阴银行,1.6,CNY,Q4 FY2025,农村商业银行
002807.SZ,江阴银行,1.54,CNY,Q1 FY2026,农村商业银行
002839.SZ,张家港行,1.43,CNY,Q1 FY2025,农村商业银行
002839.SZ,张家港行,1.43,CNY,Q2 FY2025,农村商业银行
002839.SZ,张家港行,1.42,CNY,Q3 FY2025,农村商业银行
002839.SZ,张家港行,1.39,CNY,Q4 FY2025,农村商业银行
002839.SZ,张家港行,1.35,CNY,Q1 FY2026,农村商业银行
002936.SZ,郑州银行,2.4704,CNY,Q1 FY2025,城市商业银行
002936.SZ,郑州银行,1.64,CNY,Q2 FY2025,城市商业银行
