类型,代码,名称,指标,数值,单位,期间,来源,发布日期,分级
行情,801980.SI,申万美容护理指数,收盘,3364.96,点,2026-07-17,Wind日线,2026-07-17,T2
行情,801980.SI,申万美容护理指数,YTD,-23.1,%,2026年初至07-17,Wind日线自算,2026-07-17,T2
行情,801980.SI,申万美容护理指数,最低收盘,3192.84,点,2026-06-26(2023年以来最低),Wind日线自算,2026-07-17,T2
行情,801980.SI,申万美容护理指数,距2023-02高点,-56.1,%,2023-02-17高点7664.73,Wind日线自算,2026-07-17,T2
行情,801980.SI,申万美容护理指数,距52周高/低,-35.3 / +7.7,%,52周高5203.51(2025-08-26)/低3123.07(2026-06-29),Wind日线自算,2026-07-17,T2
估值,801980.SI,申万美容护理指数,PE-TTM/PB,29.41 / 2.36,倍,2026-07-17,Wind(项目industry_master),2026-07-17,T2
基本面,801980.SI,申万美容护理指数,2026Q1营收同比,5.11,%,2026Q1,Wind聚合(项目industry_master),2026-07-17,T2
基本面,801980.SI,申万美容护理指数,2026Q1毛利率及变动,52.83 / +2.41pt,%,2026Q1(31个一级行业最高),Wind聚合(项目industry_master),2026-07-17,T2
基本面,801980.SI,申万美容护理指数,2025年报净利同比,-1.86,%,2025FY,Wind聚合(项目industry_master),2026-07-17,T2
需求,-,限额以上化妆品零售额,6月单月/上半年增速,456亿元 +12.6% / 2445亿元 +6.3%,亿元/%,2026-06 / 2026H1,国家统计局,2026-07-15,T1
需求,-,限额以上化妆品零售额,3月单月/Q1增速,463亿元 +8.3% / 1220亿元 +5.9%,亿元/%,2026-03 / 2026Q1,申万宏源引统计局,2026-04-20,T3
需求,-,限额以上化妆品零售额,4月单月/1-4月增速,326亿元 +4.7% / 1542亿元 +5.6%,亿元/%,2026-04 / 2026-01-04,统计局(项目web_research),2026-05-22,T1
公司,603605.SH,珀莱雅,2026Q1营收/归母净利,23.05亿 -2.29% / 3.67亿 -6.05%,亿元/%,2026Q1,公司季报(证券之星/界面转引),2026-04-21,T1
公司,603605.SH,珀莱雅,2026Q1毛利率,74.53 / +2.4pt,%,2026Q1,公司季报(证券之星转引),2026-04-21,T1
公司,603605.SH,珀莱雅,2025FY营收/归母净利,105.97亿 -1.68% / 15.0亿 -3.50%,亿元/%,2025FY,公司年报(腾讯/新浪转引),2026-04-21,T1
公司,603605.SH,珀莱雅,市值/PE-TTM/PB,224.64亿 / 15.24 / 3.53,亿元/倍,2026-07-17,Wind,2026-07-17,T2
公司,300896.SZ,爱美客,2026Q1营收/归母净利,6.34亿 -4.48% / 2.98亿 -32.79%,亿元/%,2026Q1,公司季报(界面/证券之星转引),2026-04-22,T1
公司,300896.SZ,爱美客,2026Q1毛利率,92.49 / -1.45pt,%,2026Q1,公司季报(新浪转引),2026-04-22,T1
公司,300896.SZ,爱美客,2025FY营收/归母净利,24.53亿 -18.94% / 12.91亿 -34.05%,亿元/%,2025FY,公司年报(腾讯转引),2026-03-19,T1
公司,300896.SZ,爱美客,市值/PE-TTM/PB,304.26亿 / 26.56 / 3.99,亿元/倍,2026-07-17,Wind,2026-07-17,T2
政策,-,医美机构增值税,营利性医美机构不再免征、适用6%；生物制品简易计税3%改13%,-,-,2026-01-01起施行,增值税法及实施条例(央视网/人民网),2026-01-06,T1
产业链,-,化妆品产业链中报预告,近20家披露中12家预增或扭亏、4家预亏2家下滑,-,-,2026H1预告(截至7/15),聚美丽/界面汇总公司预告,2026-07-16,T2
竞争,-,618美妆,易观:主要平台美妆GMV+11.4%;虎嗅引星图:美妆类目近十年罕见负增长(口径冲突),-,-,2026-05-13至06-18,国泰海通618点评/虎嗅,2026-06-25/06-29,T3
