trade_date,wind_code,open,high,low,close,volume,amt
2023-01-03,801980.SI,7140.94,7184.46,6973.12,7098.78,351710000,6874880000
2023-01-04,801980.SI,7082.94,7180.31,7052.00,7102.39,336270000,5572470000
2023-01-05,801980.SI,7102.33,7334.04,7093.40,7250.78,291290000,5764240000
2023-01-06,801980.SI,7232.03,7232.05,7130.88,7155.48,292890000,4589010000
2023-01-09,801980.SI,7160.05,7308.55,7134.13,7276.40,261180000,4799100000
2023-01-10,801980.SI,7266.30,7369.68,7244.52,7347.22,264770000,4845040000
2023-01-11,801980.SI,7341.02,7408.83,7272.63,7274.04,268620000,4597340000
2023-01-12,801980.SI,7269.45,7269.45,7153.02,7191.01,240740000,4987140000
2023-01-13,801980.SI,7207.01,7309.10,7170.82,7308.74,273420000,4942330000
2023-01-16,801980.SI,7296.98,7533.09,7296.98,7427.93,274610000,6273340000
2023-01-17,801980.SI,7405.69,7418.03,7350.02,7397.13,200360000,3656470000
2023-01-18,801980.SI,7382.54,7406.07,7330.70,7334.55,176410000,3393150000
2023-01-19,801980.SI,7320.61,7362.71,7282.44,7355.00,184260000,3188510000
2023-01-20,801980.SI,7362.59,7436.30,7271.17,7277.65,143380000,3906370000
2023-01-30,801980.SI,7358.16,7392.37,7281.72,7284.92,234770000,4421570000
2023-01-31,801980.SI,7253.63,7345.43,7188.92,7209.51,260010000,4514960000
2023-02-01,801980.SI,7214.23,7279.80,7159.36,7279.80,259160000,4351250000
2023-02-02,801980.SI,7279.85,7326.67,7239.43,7283.00,288470000,4389030000
2023-02-03,801980.SI,7285.48,7303.16,7183.20,7224.93,198670000,3574970000
2023-02-06,801980.SI,7211.10,7211.10,7096.58,7141.43,199430000,3674490000
2023-02-07,801980.SI,7158.13,7189.20,7099.95,7157.19,164750000,3300620000
2023-02-08,801980.SI,7140.25,7199.86,7120.88,7121.95,165590000,3118900000
2023-02-09,801980.SI,7139.78,7236.81,7139.78,7236.81,184840000,3562750000
2023-02-10,801980.SI,7236.77,7314.92,7224.27,7276.23,201230000,3540740000
2023-02-13,801980.SI,7263.08,7585.97,7263.08,7582.24,272940000,6261340000
2023-02-14,801980.SI,7585.54,7593.81,7536.85,7593.81,194820000,3735820000
2023-02-15,801980.SI,7593.08,7599.08,7492.87,7518.73,169560000,3063640000
2023-02-16,801980.SI,7506.97,7607.98,7408.32,7451.83,210420000,4133670000
2023-02-17,801980.SI,7447.26,7664.73,7447.26,7532.78,267220000,5039610000
2023-02-20,801980.SI,7514.14,7613.75,7433.14,7610.63,238800000,4762890000
2023-02-21,801980.SI,7609.48,7609.48,7431.75,7484.93,178480000,3940670000
2023-02-22,801980.SI,7431.44,7537.57,7431.44,7505.07,161570000,3072790000
2023-02-23,801980.SI,7495.58,7522.45,7384.00,7420.10,165310000,3599080000
2023-02-24,801980.SI,7418.76,7425.59,7358.54,7378.93,156460000,2969900000
2023-02-27,801980.SI,7359.53,7374.08,7309.68,7324.37,149310000,3200540000
2023-02-28,801980.SI,7335.59,7413.64,7335.59,7378.86,135340000,3099390000
2023-03-01,801980.SI,7375.34,7375.35,7281.90,7356.28,129890000,2799910000
2023-03-02,801980.SI,7339.81,7368.13,7320.46,7351.53,133090000,3208890000
2023-03-03,801980.SI,7342.70,7405.52,7275.20,7315.95,116150000,2756140000
2023-03-06,801980.SI,7313.12,7337.94,7279.14,7306.07,142550000,2943130000
2023-03-07,801980.SI,7302.77,7302.84,7072.45,7074.05,147120000,4253390000
