variable_family,variable,value,period,unit,source,source_date,tier
需求,全国水泥产量,7.36亿吨 同比-8.0%(6月单月1.44亿吨 -5.6%),2026H1,亿吨,国家统计局(经中国水泥网),2026-07-15,T1
需求,全国水泥平均出货率,H1均值首次低于40%,2026H1,%,数字水泥网(经新浪财经),2026-07-15,T2
需求,房地产开发投资,-16.2%,2026年1-5月,%,国家统计局(经新浪财经),2026-06-24,T1
需求,房屋新开工面积,-22.6%,2026年1-5月,%,国家统计局(经新浪财经),2026-06-24,T1
需求,固定资产投资(不含农户),-5.7%,2026年1-6月,%,国家统计局(经智慧水泥网),2026-07-15,T1
需求,公路水路铁路投资(4月单月),3054亿元 同比-9.81%,2026-04,亿元,水泥大数据研究院(经新浪财经),2026-06-24,T2
价格,全国P.O42.5散装水泥均价,H1均价269.09 同比-18.97%;5月低点255.7;6月末260.23,2026H1,元/吨,水泥大数据研究院(经新浪财经),2026-06-24,T2
库存,全国水泥库容比,67.83 同比+3.17pt,2026-05底,%,水泥大数据研究院(经新浪财经),2026-06-24,T2
成本,5500大卡煤炭到厂价,约920 同比+260,2026-06末,元/吨,水泥大数据研究院(经新浪财经),2026-06-24,T2
盈利,P.O42.5散装水泥吨毛利,30.16 较年初缩水近六成 同比降近七成,2026-06末,元/吨,水泥大数据研究院(经新浪财经),2026-06-24,T2
供给,在产熟料线/年产能,1210条/14.86亿吨 H1净减6.05万吨/日,2026H1,条/亿吨,水泥大数据研究院(经新浪财经),2026-06-24,T2
供给,水泥+熟料出口(1-5月),水泥315.29万吨+50.39%;熟料818.04万吨+707.35%,2026年1-5月,万吨,水泥大数据研究院(经新浪财经),2026-06-24,T2
政策,建材行业稳增长工作方案(2025-2026),反低价倾销+错峰生产+超产治理;分析人士预计年内压减约10%熟料产能,2025-09,—,工信部等/中国建筑材料联合会解读,2025-09-26,T1
盈利,天山股份2026H1预告,预亏28-33.6亿元(上年同期亏9.24亿),2026-07-14,亿元,公司公告(经网易/水泥网APP),2026-07-15,T1
盈利,金隅冀东2026H1预告,预亏9.0-9.8亿元(上年同期亏1.54亿),2026-07-14,亿元,公司公告(经网易/水泥网APP),2026-07-15,T1
盈利,福建水泥2026H1预告,预亏约6921万元(由盈转亏),2026-07-14,万元,公司公告(经网易/水泥网APP),2026-07-15,T1
盈利,万年青2026H1预告,预亏4000-5500万元(由盈转亏),2026-07-14,万元,公司公告(经网易/水泥网APP),2026-07-15,T1
盈利,尖峰集团2026H1预告,预亏700-1000万元(由盈转亏),2026-07-14,万元,公司公告(经网易/水泥网APP),2026-07-15,T1
盈利,西藏天路2026H1预告,预亏7000-9000万元(减亏19.6%-37.4%),2026-07-14,万元,公司公告(经网易/水泥网APP),2026-07-15,T1
盈利,华新建材2026H1预告,归母净利16.5-17.6亿元 同比+50%~+60%(海外水泥高景气),2026-07-13,亿元,东方财富研报PDF,2026-07-13,T3
行业基线,申万建筑材料指数行情,YTD+10.4% r20-18.6% r250+30.6% 距前高-26.6% 区间位置53.7%,2026-07-17,%,Wind(industry_master.csv),2026-07-17,T2
行业基线,申万建筑材料指数估值,PE 35.13 PB 1.46,2026-07-17,倍,Wind(industry_master.csv),2026-07-17,T2
行业基线,行业2026Q1财务,营收-2.45% 毛利率18.37%(+1.06pt),2026Q1,%,Wind(industry_master.csv),2026-07-17,T2
行业基线,行业2025年报净利,-36.1%,2025FY,%,Wind(industry_master.csv),2026-07-17,T2
公司,海螺水泥(600585.SH),收盘17.67元 市值932亿 PE(TTM)12.0 PB(LF)0.49 52周区间16.19-26.73,2026-07-17,元/亿元/倍,Wind,2026-07-17,T2
公司,海螺水泥2026Q1,营收-10.45% 归母净利-18.98%,2026Q1,%,公司一季报/Wind,2026-04-29,T1
公司,东方雨虹(002271.SZ),收盘10.74元 市值257亿 PE(TTM)79.5 PB(LF)1.25 52周区间10.49-19.25,2026-07-17,元/亿元/倍,Wind,2026-07-17,T2
公司,东方雨虹2026Q1,营收71.9亿+20.74% 归母净利4.02亿+108.89%,2026Q1,亿元/%,公司一季报(经网易/观点网),2026-04-16,T1
历史参照,2015年全国水泥产量,23.5亿吨 同比-4.9%(25年来首次负增长),2015FY,亿吨,工信部,2016-02-05,T1
历史参照,2015年水泥行业利润,330亿元 同比-58%;年均出厂价270元/吨,2015FY,亿元/元每吨,工信部/联合资信,2016-02-05,T1
