trade_date,wind_code,open,high,low,close,volume,amt
2025-07-01,601088.SH,36.54,36.99,36.32,36.89,20036948,817942204
2025-07-02,601088.SH,36.89,37.44,36.78,37.43,22333524,921491575
2025-07-03,601088.SH,37.57,37.58,36.34,36.41,28602253,1164946847
2025-07-04,601088.SH,36.41,37.11,36.41,36.99,30294093,1239186160
2025-07-07,601088.SH,36.99,36.99,35.83,35.95,46156722,1747099980
2025-07-08,601088.SH,36.00,36.10,35.76,35.97,20188668,760340830
2025-07-09,601088.SH,35.97,36.17,35.76,35.76,20920104,789780606
2025-07-10,601088.SH,35.89,35.98,35.68,35.72,23544664,883459955
2025-07-11,601088.SH,35.72,36.02,35.09,35.09,43379798,1623150189
2025-07-14,601088.SH,35.34,36.22,35.34,35.69,51491446,1935504599
2025-07-15,601088.SH,35.73,36.18,35.52,35.73,26227333,985634734
2025-07-16,601088.SH,35.74,35.81,35.48,35.55,15148200,565107199
2025-07-17,601088.SH,35.54,35.61,35.26,35.41,17218477,638485726
2025-07-18,601088.SH,35.51,35.84,35.50,35.67,20778801,777848796
2025-07-21,601088.SH,35.77,36.09,35.64,36.02,25712961,968061429
2025-07-22,601088.SH,36.02,38.14,35.84,37.65,74518614,2906302112
2025-07-23,601088.SH,37.84,38.32,36.92,37.02,50939959,1995344450
2025-07-24,601088.SH,37.03,37.36,36.56,37.02,39150400,1517493069
2025-07-25,601088.SH,37.02,37.11,36.58,36.65,23430400,904600324
2025-07-28,601088.SH,36.46,36.47,35.99,36.05,29503406,1118787530
2025-07-29,601088.SH,35.95,36.21,35.93,36.07,17872893,676319147
2025-07-30,601088.SH,36.25,37.10,36.12,36.72,32979667,1268638025
2025-07-31,601088.SH,36.51,36.52,35.86,36.39,35149739,1332065432
2025-08-01,601088.SH,36.40,36.64,35.80,35.82,24439794,923649291
2025-08-04,601088.SH,35.82,35.82,35.82,35.82,,
2025-08-05,601088.SH,35.82,35.82,35.82,35.82,,
2025-08-06,601088.SH,35.82,35.82,35.82,35.82,,
2025-08-07,601088.SH,35.82,35.82,35.82,35.82,,
2025-08-08,601088.SH,35.82,35.82,35.82,35.82,,
2025-08-11,601088.SH,35.82,35.82,35.82,35.82,,
2025-08-12,601088.SH,35.82,35.82,35.82,35.82,,
2025-08-13,601088.SH,35.82,35.82,35.82,35.82,,
2025-08-14,601088.SH,35.82,35.82,35.82,35.82,,
2025-08-15,601088.SH,35.82,35.82,35.82,35.82,,
2025-08-18,601088.SH,39.40,39.40,37.20,37.41,126535324,5028382365
2025-08-19,601088.SH,37.33,37.41,36.49,36.50,69450935,2674812524
2025-08-20,601088.SH,36.41,36.85,36.26,36.84,42103498,1612549400
2025-08-21,601088.SH,36.81,36.81,36.47,36.66,31827749,1222728964
2025-08-22,601088.SH,36.66,36.72,36.38,36.72,34603245,1326898953
2025-08-25,601088.SH,36.78,37.37,36.78,37.29,41922544,1630045374
2025-08-26,601088.SH,37.32,37.37,37.01,37.03,27536173,1071753634
2025-08-27,601088.SH,36.97,36.97,36.44,36.46,31391733,1207236969
2025-08-28,601088.SH,36.34,36.39,35.89,36.14,30321880,1149969932
2025-08-29,601088.SH,36.14,36.52,35.72,35.73,51055468,1930260088
2025-09-01,601088.SH,35.86,36.60,35.73,36.14,46962473,1785289938
2025-09-02,601088.SH,36.14,36.57,35.91,36.39,42572666,1617629553
2025-09-03,601088.SH,36.40,36.48,35.87,36.03,28124216,1062806332
2025-09-04,601088.SH,35.93,36.60,35.51,36.40,47747580,1803494868
2025-09-05,601088.SH,36.24,36.47,36.04,36.39,25457068,968508527
2025-09-08,601088.SH,36.39,36.52,36.12,36.29,31208503,1189085247
2025-09-09,601088.SH,36.38,36.50,36.17,36.37,22152992,844183914
2025-09-10,601088.SH,36.33,36.76,36.18,36.40,29549166,1130331406
2025-09-11,601088.SH,36.43,36.54,36.27,36.51,28099182,1071827036
2025-09-12,601088.SH,36.54,36.64,35.90,36.01,44731893,1699838451
2025-09-15,601088.SH,36.00,36.47,35.93,36.42,33699567,1282257747
2025-09-16,601088.SH,36.52,36.98,36.52,36.63,42723298,1647981051
2025-09-17,601088.SH,36.55,37.32,36.52,37.17,45927949,1784030068
2025-09-18,601088.SH,37.14,37.16,36.35,36.51,34589290,1329974267
2025-09-19,601088.SH,36.50,37.05,36.34,36.81,35024415,1351081931
2025-09-22,601088.SH,36.93,37.17,36.52,36.72,27109297,1046656896
2025-09-23,601088.SH,36.58,37.15,36.40,37.06,33017401,1278886215
2025-09-24,601088.SH,36.93,37.34,36.86,37.14,28500609,1107910688
2025-09-25,601088.SH,37.13,37.13,36.67,36.92,19818486,765400736
2025-09-26,601088.SH,37.00,37.11,36.73,36.96,21539186,834648041
2025-09-29,601088.SH,36.79,36.95,36.24,36.57,32027805,1226530388
2025-09-30,601088.SH,36.55,36.81,36.27,36.72,23886334,915672364
2025-10-09,601088.SH,36.51,37.63,36.50,37.61,43382921,1688660954
2025-10-10,601088.SH,37.60,38.18,37.19,37.93,39260957,1560433513
2025-10-13,601088.SH,37.63,38.34,37.31,38.10,44111732,1750804534
2025-10-14,601088.SH,38.05,38.98,37.84,38.77,47524637,1923644186
2025-10-15,601088.SH,38.76,39.21,38.47,38.97,37953731,1544796029
2025-10-16,601088.SH,38.86,40.16,38.72,40.06,48524335,2024896057
2025-10-17,601088.SH,40.02,40.68,39.72,39.96,45477045,1916397491
2025-10-20,601088.SH,39.85,40.48,39.65,40.27,37973394,1597037338
2025-10-21,601088.SH,40.27,40.27,39.15,39.86,45736306,1898394137
2025-10-22,601088.SH,39.86,40.23,39.70,40.19,27413031,1149319234
2025-10-23,601088.SH,40.03,40.62,40.03,40.26,25763279,1089610665
2025-10-24,601088.SH,40.33,40.72,40.06,40.53,27432283,1163307461
2025-10-27,601088.SH,40.05,40.93,39.22,40.71,34529883,1461782123
2025-10-28,601088.SH,40.71,41.07,40.43,40.62,21464184,917128079
2025-10-29,601088.SH,40.51,40.53,40.01,40.19,21904041,922805591
2025-10-30,601088.SH,40.35,41.78,40.24,41.04,38578085,1661979795
2025-10-31,601088.SH,41.24,41.45,40.30,40.54,22777308,968315697
2025-11-03,601088.SH,40.82,41.91,40.68,41.41,27729157,1203000005
2025-11-04,601088.SH,41.48,41.91,41.32,41.50,22824364,995835142
2025-11-05,601088.SH,41.39,42.03,41.37,41.56,24574559,1074978949
2025-11-06,601088.SH,41.56,42.33,41.37,41.95,28412845,1248884303
2025-11-07,601088.SH,41.92,42.07,41.45,41.70,23188978,1014468128
2025-11-10,601088.SH,41.85,42.42,41.47,42.09,22156337,955100795
2025-11-11,601088.SH,42.07,42.15,41.32,41.75,20993749,897101265
2025-11-12,601088.SH,41.71,42.19,41.56,41.56,19841174,850914145
2025-11-13,601088.SH,41.64,41.80,40.99,41.58,21778201,923181799
2025-11-14,601088.SH,41.71,42.01,41.02,41.06,16836712,714090566
2025-11-17,601088.SH,41.03,41.69,40.50,41.36,23133692,977566052
2025-11-18,601088.SH,41.21,41.54,40.82,40.88,17641789,741974355
