trade_date,wind_code,open,high,low,close,volume,amt
2024-01-02,801720.SI,1888.91,1893.03,1880.98,1883.68,2654680000,16525280000
2024-01-03,801720.SI,1881.62,1890.79,1879.42,1890.33,2592840000,16476360000
2024-01-04,801720.SI,1889.14,1889.72,1871.66,1882.69,2504330000,15332140000
2024-01-05,801720.SI,1882.18,1898.09,1867.33,1874.42,2999370000,18370610000
2024-01-08,801720.SI,1874.86,1876.86,1846.89,1846.89,2853010000,17504230000
2024-01-09,801720.SI,1847.19,1863.15,1843.36,1854.51,3178050000,19415870000
2024-01-10,801720.SI,1849.73,1856.02,1834.35,1839.03,2802650000,16535480000
2024-01-11,801720.SI,1838.05,1855.89,1831.87,1852.58,3031320000,17628370000
2024-01-12,801720.SI,1855.50,1881.42,1855.50,1858.38,3650780000,22877910000
2024-01-15,801720.SI,1852.19,1867.97,1841.25,1862.69,3112080000,19495620000
2024-01-16,801720.SI,1859.39,1867.22,1837.32,1859.77,3163680000,19589610000
2024-01-17,801720.SI,1856.49,1856.49,1817.67,1817.67,2858110000,16755650000
2024-01-18,801720.SI,1810.35,1810.40,1758.96,1808.35,3693990000,22627510000
2024-01-19,801720.SI,1803.17,1812.23,1789.37,1794.55,2825510000,17752830000
2024-01-22,801720.SI,1791.58,1791.58,1716.96,1725.04,3237900000,19172570000
2024-01-23,801720.SI,1721.38,1739.55,1701.81,1732.89,2915230000,17481870000
2024-01-24,801720.SI,1741.12,1808.48,1732.74,1808.48,4344170000,24888780000
2024-01-25,801720.SI,1808.28,1906.85,1808.28,1904.86,5781650000,35651030000
2024-01-26,801720.SI,1908.06,1937.44,1901.34,1917.26,5348860000,35596840000
2024-01-29,801720.SI,1919.31,1966.07,1904.93,1905.22,6197440000,39849570000
2024-01-30,801720.SI,1885.97,1914.08,1869.44,1872.66,4748130000,29967860000
2024-01-31,801720.SI,1858.25,1874.46,1814.12,1819.53,4651790000,28835260000
2024-02-01,801720.SI,1799.81,1814.43,1768.77,1771.35,4277080000,25744300000
2024-02-02,801720.SI,1766.99,1791.17,1689.91,1732.02,5000820000,28039520000
2024-02-05,801720.SI,1713.88,1713.88,1618.17,1636.19,4562920000,23799790000
2024-02-06,801720.SI,1605.95,1695.32,1589.29,1670.95,4916050000,25281580000
2024-02-07,801720.SI,1671.62,1694.42,1661.31,1678.77,4897130000,25767380000
2024-02-08,801720.SI,1681.13,1720.24,1673.74,1720.01,5212310000,25843730000
2024-02-19,801720.SI,1733.10,1751.97,1725.58,1750.91,4513860000,23176380000
2024-02-20,801720.SI,1748.40,1765.65,1733.80,1763.35,3380660000,17958430000
2024-02-21,801720.SI,1752.75,1832.33,1752.18,1797.09,4814020000,29700090000
2024-02-22,801720.SI,1792.42,1816.76,1786.43,1816.76,3638100000,22953710000
2024-02-23,801720.SI,1820.16,1840.68,1808.54,1838.85,3745720000,23732220000
2024-02-26,801720.SI,1838.00,1844.41,1814.88,1821.44,3990410000,26074070000
2024-02-27,801720.SI,1813.38,1850.84,1812.62,1850.84,3323630000,22521840000
2024-02-28,801720.SI,1851.28,1877.54,1805.75,1805.75,5410030000,35235980000
2024-02-29,801720.SI,1792.37,1845.13,1792.37,1845.13,3722800000,26688610000
2024-03-01,801720.SI,1846.29,1851.22,1831.26,1844.85,3269580000,23621630000
2024-03-04,801720.SI,1842.72,1842.72,1810.22,1833.39,3524130000,23784010000
2024-03-05,801720.SI,1825.79,1844.23,1824.25,1837.10,3311570000,24819670000
2024-03-06,801720.SI,1833.62,1854.96,1828.28,1840.65,3200980000,22767170000
2024-03-07,801720.SI,1841.44,1862.66,1831.24,1831.24,3292190000,23493080000
2024-03-08,801720.SI,1831.09,1852.12,1825.70,1850.87,2957610000,20353190000
2024-03-11,801720.SI,1853.14,1871.00,1853.14,1871.00,3361680000,23083840000
2024-03-12,801720.SI,1871.66,1872.10,1852.69,1867.64,3854290000,25753980000
2024-03-13,801720.SI,1864.36,1864.61,1845.05,1852.16,3398420000,23957070000
2024-03-14,801720.SI,1847.72,1874.73,1847.72,1858.92,3806620000,24494850000
2024-03-15,801720.SI,1852.57,1867.28,1838.96,1867.04,3155290000,19663160000
2024-03-18,801720.SI,1871.42,1905.69,1871.41,1905.69,3964410000,27729420000
2024-03-19,801720.SI,1902.57,1911.29,1888.92,1888.92,3352410000,27322130000
2024-03-20,801720.SI,1887.10,1905.05,1883.44,1903.77,2991210000,22109550000
2024-03-21,801720.SI,1907.11,1908.61,1891.25,1901.84,3113780000,22188760000
2024-03-22,801720.SI,1899.79,1900.24,1861.33,1870.36,3504660000,24006220000
2024-03-25,801720.SI,1866.25,1887.96,1854.73,1854.73,2987390000,22608650000
2024-03-26,801720.SI,1853.28,1863.05,1839.58,1861.01,2843960000,22524450000
2024-03-27,801720.SI,1854.54,1861.87,1819.80,1819.80,2726860000,19805820000
2024-03-28,801720.SI,1814.48,1853.74,1814.43,1842.29,2830700000,21590120000
2024-03-29,801720.SI,1841.31,1865.38,1841.30,1865.38,3198800000,24504410000
2024-04-01,801720.SI,1871.19,1905.31,1871.19,1905.31,3572040000,25516820000
2024-04-02,801720.SI,1905.18,1908.41,1892.17,1898.45,3181270000,23295320000
2024-04-03,801720.SI,1895.27,1896.53,1882.36,1895.35,3096610000,21754350000
2024-04-08,801720.SI,1886.05,1892.75,1864.71,1864.71,3107880000,20943670000
2024-04-09,801720.SI,1862.61,1869.52,1847.21,1852.59,2469210000,17909340000
2024-04-10,801720.SI,1846.83,1848.59,1806.51,1818.29,2764790000,19652450000
2024-04-11,801720.SI,1807.38,1846.73,1803.55,1830.79,2699760000,18476430000
2024-04-12,801720.SI,1829.52,1834.94,1804.68,1806.27,2478230000,16095740000
2024-04-15,801720.SI,1801.08,1849.75,1765.80,1837.77,5218770000,30960410000
2024-04-16,801720.SI,1823.95,1831.46,1786.09,1787.11,4920200000,30932300000
2024-04-17,801720.SI,1784.78,1859.67,1784.75,1859.67,4821020000,30770650000
2024-04-18,801720.SI,1852.72,1867.85,1849.98,1853.66,4595440000,30531730000
2024-04-19,801720.SI,1842.23,1867.30,1842.23,1859.46,4445930000,31479670000
2024-04-22,801720.SI,1852.30,1857.75,1829.48,1832.13,3886740000,25777700000
2024-04-23,801720.SI,1824.42,1831.65,1806.58,1811.93,3825160000,27812530000
2024-04-24,801720.SI,1809.39,1836.34,1809.39,1836.34,3931150000,26990930000
2024-04-25,801720.SI,1831.17,1845.44,1828.28,1838.02,3421260000,24950270000
2024-04-26,801720.SI,1832.71,1853.33,1832.71,1849.89,4194370000,30533370000
2024-04-29,801720.SI,1841.59,1867.65,1835.02,1865.71,4413000000,31003210000
2024-04-30,801720.SI,1858.32,1863.66,1818.50,1825.22,4067720000,28032830000
2024-05-06,801720.SI,1839.45,1856.21,1839.45,1854.02,3710950000,25255620000
2024-05-07,801720.SI,1850.86,1861.69,1846.77,1855.64,3279350000,21621530000
2024-05-08,801720.SI,1850.97,1850.99,1827.98,1829.40,2656250000,18557550000
2024-05-09,801720.SI,1827.12,1857.63,1827.12,1857.35,3163580000,20341500000
2024-05-10,801720.SI,1858.69,1863.06,1841.61,1859.58,3295390000,21657180000
2024-05-13,801720.SI,1849.21,1872.04,1836.50,1864.59,3573820000,23648500000
2024-05-14,801720.SI,1864.12,1871.30,1857.73,1868.51,2916720000,19088200000
2024-05-15,801720.SI,1864.72,1871.41,1856.52,1857.33,2868980000,20183790000
2024-05-16,801720.SI,1858.26,1895.92,1858.26,1885.40,3781270000,26045050000
2024-05-17,801720.SI,1891.06,1915.36,1878.43,1915.36,4335160000,28282430000
2024-05-20,801720.SI,1917.19,1917.19,1901.12,1908.25,4005700000,26661190000
2024-05-21,801720.SI,1902.09,1911.68,1888.86,1894.73,3604840000,22821730000
2024-05-22,801720.SI,1891.18,1923.86,1891.17,1915.10,3689520000,25188460000
2024-05-23,801720.SI,1910.63,1910.69,1874.17,1880.63,3906400000,28257580000
2024-05-24,801720.SI,1874.24,1885.35,1862.03,1862.03,3520290000,22930870000
2024-05-27,801720.SI,1861.62,1867.30,1845.83,1867.16,3099910000,18954270000
2024-05-28,801720.SI,1865.49,1867.94,1846.42,1847.47,3239970000,19444590000
2024-05-29,801720.SI,1842.95,1859.82,1839.48,1845.16,2704410000,16761670000
2024-05-30,801720.SI,1840.48,1844.00,1821.44,1823.51,3228140000,17545700000
2024-05-31,801720.SI,1823.47,1831.99,1821.99,1822.69,2517430000,14441870000
