trade_date,wind_code,open,high,low,close,volume,amt
2025-01-02,000651.SZ,42.51,43.42,42.07,42.38,95253245,4449784976
2025-01-03,000651.SZ,42.42,43.27,41.70,41.83,52708618,2436435046
2025-01-06,000651.SZ,42.01,42.54,41.41,42.09,54212813,2489906993
2025-01-07,000651.SZ,41.89,42.40,41.24,41.75,44406077,2032272815
2025-01-08,000651.SZ,41.70,43.33,41.56,43.20,77821329,3639432912
2025-01-09,000651.SZ,43.26,43.58,42.72,43.44,45412644,2148119227
2025-01-10,000651.SZ,43.29,43.68,42.30,42.43,37161252,1734493429
2025-01-13,000651.SZ,41.88,42.04,40.87,41.06,42111241,1903557019
2025-01-14,000651.SZ,41.02,41.95,40.96,41.74,31582175,1434156901
2025-01-15,000651.SZ,41.63,42.84,41.57,42.15,32881741,1521038271
2025-01-16,000651.SZ,42.34,43.11,42.18,42.34,29793835,1386882882
2025-01-17,000651.SZ,42.20,42.42,41.65,42.07,24589547,1131875332
2025-01-20,000651.SZ,42.09,42.42,40.88,41.23,61877341,2797125718
2025-01-21,000651.SZ,41.50,41.52,40.81,40.93,30001069,1345248908
2025-01-22,000651.SZ,40.84,40.92,39.83,40.29,39685582,1746974884
2025-01-23,000651.SZ,40.47,40.99,40.33,40.49,37509778,1667303257
2025-01-24,000651.SZ,40.49,41.04,40.17,40.66,33151745,1475277190
2025-01-27,000651.SZ,40.67,41.40,40.67,41.05,28353972,1274083766
2025-02-05,000651.SZ,40.73,40.97,40.00,40.08,34466486,1514802179
2025-02-06,000651.SZ,40.12,40.28,39.63,39.91,34309683,1495055072
2025-02-07,000651.SZ,39.95,40.49,39.61,40.35,40139929,1763199894
2025-02-10,000651.SZ,40.35,40.46,39.92,40.13,30589785,1341233006
2025-02-11,000651.SZ,40.21,40.37,39.74,39.93,29179656,1275546262
2025-02-12,000651.SZ,39.92,40.13,39.63,40.02,27072784,1178412799
2025-02-13,000651.SZ,39.96,40.28,39.84,40.07,33805098,1483436136
2025-02-14,000651.SZ,39.96,40.49,39.96,40.23,28122853,1238280267
2025-02-17,000651.SZ,40.06,40.23,39.58,39.94,37143079,1615024282
2025-02-18,000651.SZ,39.78,39.86,39.26,39.35,43042178,1859047194
2025-02-19,000651.SZ,39.36,39.41,38.19,38.35,95038714,3997869747
2025-02-20,000651.SZ,38.27,38.39,37.80,38.27,62417502,2599789536
2025-02-21,000651.SZ,38.26,38.26,37.35,37.82,81951122,3373474394
2025-02-24,000651.SZ,37.64,38.03,37.40,37.74,53752598,2218449805
2025-02-25,000651.SZ,37.66,37.67,36.95,37.04,66644155,2712820413
2025-02-26,000651.SZ,37.04,37.55,37.04,37.42,48929710,1995742497
2025-02-27,000651.SZ,37.45,38.05,37.44,37.89,73799739,3052301705
2025-02-28,000651.SZ,37.84,38.29,37.32,37.36,61372840,2531151571
2025-03-03,000651.SZ,37.35,37.51,36.99,37.09,41993896,1709210135
2025-03-04,000651.SZ,38.36,38.82,38.03,38.13,110012839,4626447416
2025-03-05,000651.SZ,38.16,38.59,37.90,38.46,51902843,2176708623
2025-03-06,000651.SZ,38.55,38.59,38.13,38.51,45377405,1906837452
2025-03-07,000651.SZ,38.40,38.61,38.17,38.28,31447480,1317345208
2025-03-10,000651.SZ,38.28,38.64,38.00,38.64,36583074,1535238479
2025-03-11,000651.SZ,38.32,38.88,38.28,38.73,34854528,1469626138
2025-03-12,000651.SZ,38.74,38.78,38.35,38.52,32931960,1388249580
2025-03-13,000651.SZ,38.50,39.25,38.43,38.89,50705752,2161809155
2025-03-14,000651.SZ,38.90,39.69,38.90,39.51,51662157,2227574499
2025-03-17,000651.SZ,39.60,39.85,39.40,39.60,35524807,1537736633
2025-03-18,000651.SZ,39.74,40.38,39.53,40.03,43162920,1885623888
2025-03-19,000651.SZ,40.10,40.15,39.63,39.88,29341858,1278430689
2025-03-20,000651.SZ,39.85,39.93,39.04,39.06,43916150,1889067247
2025-03-21,000651.SZ,39.13,40.11,39.13,40.00,70854832,3087674416
2025-03-24,000651.SZ,40.67,41.42,40.39,41.13,84886642,3814449608
2025-03-25,000651.SZ,41.12,41.70,41.06,41.30,53615234,2424960663
2025-03-26,000651.SZ,41.15,41.48,40.74,41.11,36842114,1652034765
2025-03-27,000651.SZ,41.14,41.54,40.97,41.33,29743897,1342752243
2025-03-28,000651.SZ,41.33,41.65,41.13,41.41,31283369,1417042006
2025-03-31,000651.SZ,41.47,42.28,41.34,41.57,43852863,2009314133
2025-04-01,000651.SZ,41.45,41.61,40.97,41.27,35732894,1614126073
2025-04-02,000651.SZ,41.27,42.07,41.15,41.31,31611956,1435118537
2025-04-03,000651.SZ,40.92,41.52,40.74,41.47,40141606,1808260636
2025-04-07,000651.SZ,39.51,40.86,38.59,39.60,92719776,4030308608
2025-04-08,000651.SZ,39.58,40.87,39.24,40.81,75597337,3327610338
2025-04-09,000651.SZ,40.39,41.34,40.08,41.03,55132482,2462959792
2025-04-10,000651.SZ,40.89,41.11,40.47,40.98,43656185,1949505012
2025-04-11,000651.SZ,40.79,41.26,40.36,41.24,30408872,1361064693
2025-04-14,000651.SZ,41.24,41.29,39.87,40.14,66954566,2954928330
2025-04-15,000651.SZ,40.14,41.13,39.84,41.02,51724300,2304662178
2025-04-16,000651.SZ,40.86,41.49,40.68,41.41,34048085,1530820445
2025-04-17,000651.SZ,41.27,41.27,40.81,41.13,20241345,909520810
2025-04-18,000651.SZ,41.03,41.61,40.91,41.43,22543761,1019872405
2025-04-21,000651.SZ,41.38,41.52,41.07,41.33,20695449,934991606
2025-04-22,000651.SZ,41.31,42.06,41.18,41.66,21666459,986446708
2025-04-23,000651.SZ,41.79,41.84,41.29,41.42,22135189,1006597596
2025-04-24,000651.SZ,41.42,41.65,41.15,41.52,20435141,925443213
2025-04-25,000651.SZ,41.44,41.64,41.24,41.35,23313706,1054750380
2025-04-28,000651.SZ,42.81,43.26,42.30,42.57,86370364,4046000946
