trade_date,wind_code,open,high,low,close,volume,amt
2025-01-02,600690.SH,27.18,27.74,26.74,26.94,56857127,1618238609
2025-01-03,600690.SH,26.89,27.27,26.29,26.37,42837173,1195989557
2025-01-06,600690.SH,26.29,26.71,26.06,26.44,32147511,887847930
2025-01-07,600690.SH,26.41,27.47,26.28,27.24,58308078,1658077772
2025-01-08,600690.SH,27.13,28.28,26.95,28.01,64384912,1874933237
2025-01-09,600690.SH,28.01,28.33,27.80,28.15,34015144,1002655694
2025-01-10,600690.SH,28.13,28.29,27.04,27.14,35104536,1007319357
2025-01-13,600690.SH,26.92,26.92,25.86,25.98,53863065,1479460525
2025-01-14,600690.SH,25.84,26.28,25.68,26.17,43382479,1182549840
2025-01-15,600690.SH,26.16,26.59,25.62,25.67,42350677,1153155635
2025-01-16,600690.SH,25.85,26.59,25.72,25.95,52153070,1428918672
2025-01-17,600690.SH,25.79,26.61,25.61,26.33,47544819,1302680212
2025-01-20,600690.SH,26.58,27.16,26.44,26.53,37879055,1061987575
2025-01-21,600690.SH,26.64,26.79,26.21,26.27,26702982,738594070
2025-01-22,600690.SH,26.23,26.26,25.68,25.97,35115281,952939968
2025-01-23,600690.SH,26.13,26.31,26.01,26.14,30789460,843089487
2025-01-24,600690.SH,26.14,26.54,26.00,26.32,31574896,870418663
2025-01-27,600690.SH,26.32,26.73,26.28,26.53,27311667,758802073
2025-02-05,600690.SH,26.29,26.42,25.41,25.42,51672664,1387740333
2025-02-06,600690.SH,25.42,25.72,25.32,25.55,38007843,1014890885
2025-02-07,600690.SH,25.55,25.78,25.22,25.77,48363855,1296441916
2025-02-10,600690.SH,25.85,25.97,25.48,25.89,39413133,1064638027
2025-02-11,600690.SH,26.07,26.26,25.71,25.77,34927228,947171859
2025-02-12,600690.SH,25.76,25.79,25.26,25.55,55135353,1469935667
2025-02-13,600690.SH,25.44,25.85,25.37,25.56,48368932,1298357672
2025-02-14,600690.SH,25.62,25.79,25.37,25.68,33755957,904616968
2025-02-17,600690.SH,25.79,25.86,25.48,25.56,42478242,1138578296
2025-02-18,600690.SH,25.56,25.57,25.22,25.30,44558215,1181337552
2025-02-19,600690.SH,25.24,25.28,24.95,25.22,45220786,1188803250
2025-02-20,600690.SH,25.20,25.41,24.98,25.21,39744829,1047903820
2025-02-21,600690.SH,25.28,25.28,24.75,25.00,72447908,1887572556
2025-02-24,600690.SH,25.01,25.75,24.93,25.47,69335222,1847119626
2025-02-25,600690.SH,25.33,25.38,24.72,24.83,63156360,1652672563
2025-02-26,600690.SH,24.83,25.17,24.76,24.94,39211375,1023944460
2025-02-27,600690.SH,25.01,25.68,24.96,25.62,81241514,2166134174
2025-02-28,600690.SH,25.34,25.96,25.08,25.08,60295153,1604113149
2025-03-03,600690.SH,25.14,25.20,24.75,24.77,50832802,1327596607
2025-03-04,600690.SH,24.72,24.96,24.64,24.84,38971513,1011687470
2025-03-05,600690.SH,24.88,25.13,24.68,25.05,40067427,1045994934
2025-03-06,600690.SH,25.12,25.28,24.92,25.25,43750265,1151624456
2025-03-07,600690.SH,25.17,25.46,25.00,25.40,46454246,1227069011
2025-03-10,600690.SH,25.75,25.92,25.36,25.62,58780117,1576387816
2025-03-11,600690.SH,25.33,26.03,25.32,25.94,54636493,1474918990
2025-03-12,600690.SH,25.95,25.97,25.29,25.29,67509958,1801193627
2025-03-13,600690.SH,25.29,25.42,25.05,25.18,31590000,835473055
2025-03-14,600690.SH,25.20,26.18,25.16,26.08,94752540,2563749264
2025-03-17,600690.SH,26.49,26.61,26.16,26.31,54945274,1515354058
2025-03-18,600690.SH,26.27,27.11,26.22,26.68,67552389,1882787399
2025-03-19,600690.SH,26.63,27.17,26.60,26.88,47521668,1337487872
2025-03-20,600690.SH,26.84,26.89,26.44,26.44,33916521,944184727
2025-03-21,600690.SH,26.34,26.80,26.16,26.27,38176146,1056147916
2025-03-24,600690.SH,26.47,27.20,26.37,27.03,53458525,1507159975
2025-03-25,600690.SH,26.96,27.77,26.93,26.94,58483319,1670131348
2025-03-26,600690.SH,26.80,27.02,26.56,26.68,34508952,964486338
2025-03-27,600690.SH,26.56,26.88,26.37,26.81,28993293,810281817
2025-03-28,600690.SH,26.56,26.56,25.72,25.95,80865318,2192886392
2025-03-31,600690.SH,25.79,26.52,25.73,26.12,56658212,1556307570
2025-04-01,600690.SH,26.18,26.25,25.68,25.75,49429187,1336662026
2025-04-02,600690.SH,25.77,26.00,25.72,25.81,24772521,670403570
2025-04-03,600690.SH,25.32,25.35,24.93,25.03,67828093,1783119385
2025-04-07,600690.SH,23.39,23.76,22.53,22.53,100756311,2408824417
2025-04-08,600690.SH,22.60,23.64,22.55,23.64,87251343,2110151312
2025-04-09,600690.SH,23.18,23.92,22.81,23.92,62609944,1527006385
2025-04-10,600690.SH,24.71,24.71,23.94,24.37,49094631,1246197337
2025-04-11,600690.SH,24.34,24.34,23.56,23.95,57093226,1419973772
2025-04-14,600690.SH,24.03,24.05,23.63,23.66,51217100,1273592729
2025-04-15,600690.SH,23.52,23.88,23.33,23.66,47156139,1165198346
2025-04-16,600690.SH,23.60,23.87,23.12,23.87,56804266,1388913964
2025-04-17,600690.SH,23.60,23.60,23.38,23.55,45799825,1124738475
2025-04-18,600690.SH,23.41,23.63,23.32,23.45,25360785,622416791
2025-04-21,600690.SH,23.42,23.78,23.41,23.67,33701605,834141645
2025-04-22,600690.SH,23.59,23.75,23.46,23.58,31043978,767246445
2025-04-23,600690.SH,23.76,24.12,23.74,23.77,53897149,1349925223
2025-04-24,600690.SH,23.79,23.86,23.58,23.67,23538945,584233536
2025-04-25,600690.SH,23.74,23.93,23.68,23.90,31709650,791669027
2025-04-28,600690.SH,23.91,24.02,23.71,23.84,28559871,713129413
2025-04-29,600690.SH,23.81,23.92,23.61,23.92,25222815,627835322
2025-04-30,600690.SH,23.91,24.23,23.64,23.68,46592403,1163415155
2025-05-06,600690.SH,23.79,24.03,23.66,24.00,39586975,990840683
2025-05-07,600690.SH,24.48,24.54,23.96,24.05,42948286,1086106572
2025-05-08,600690.SH,24.02,24.36,23.93,24.27,33924189,860076378
2025-05-09,600690.SH,24.23,24.39,24.05,24.26,33982072,861011082
2025-05-12,600690.SH,24.62,25.06,24.62,24.96,52329528,1361947400
2025-05-13,600690.SH,25.32,25.33,24.80,24.83,37841181,990647940
2025-05-14,600690.SH,24.79,25.12,24.69,24.96,34361503,895451364
2025-05-15,600690.SH,24.96,25.01,24.72,24.86,22167468,576726829
2025-05-16,600690.SH,24.74,24.80,24.36,24.53,37736090,966386112
2025-05-19,600690.SH,24.45,24.64,24.42,24.57,23800683,611341400
2025-05-20,600690.SH,24.58,25.21,24.46,25.12,40739372,1063160495
2025-05-21,600690.SH,25.08,25.31,24.95,25.05,30094571,791338615
2025-05-22,600690.SH,24.90,25.12,24.85,25.02,23862725,623883629
2025-05-23,600690.SH,24.96,25.13,24.61,24.61,31892012,830256264
2025-05-26,600690.SH,24.60,24.69,24.30,24.37,23252109,595355497
2025-05-27,600690.SH,24.44,24.48,24.07,24.09,25069944,635537435
2025-05-28,600690.SH,24.15,24.26,23.90,23.99,24806611,624599503
2025-05-29,600690.SH,24.11,24.58,24.10,24.26,37129008,948997381
2025-05-30,600690.SH,24.17,24.19,23.91,23.92,24545018,617020514
2025-06-03,600690.SH,23.84,23.89,23.55,23.62,42442491,1051552649
2025-06-04,600690.SH,23.69,23.81,23.65,23.73,26349995,654299300
2025-06-05,600690.SH,23.74,23.81,23.60,23.61,29387405,727682719
2025-06-06,600690.SH,23.65,23.76,23.56,23.72,25689187,636790805
2025-06-09,600690.SH,23.79,23.98,23.66,23.86,32174954,803678130
2025-06-10,600690.SH,23.88,24.14,23.61,23.77,36496436,912406606
2025-06-11,600690.SH,23.76,24.17,23.74,24.03,36993354,931810721
2025-06-12,600690.SH,23.97,23.97,23.74,23.85,22431303,559865513
2025-06-13,600690.SH,23.69,23.69,23.02,23.35,61277826,1497019760
2025-06-16,600690.SH,23.26,23.40,23.19,23.33,21407916,521905767
2025-06-17,600690.SH,23.39,23.84,23.37,23.80,42800806,1059783624
2025-06-18,600690.SH,23.75,24.06,23.72,23.88,26404699,660581652
2025-06-19,600690.SH,23.84,23.95,23.52,23.60,22382267,555722845
2025-06-20,600690.SH,23.60,23.72,23.50,23.55,22407407,553391150
2025-06-23,600690.SH,23.38,23.57,23.17,23.45,24700187,603548499
2025-06-24,600690.SH,23.45,23.81,23.45,23.62,27017979,669099228
2025-06-25,600690.SH,23.67,23.84,23.55,23.82,30089988,746151137
2025-06-26,600690.SH,23.82,23.89,23.61,23.62,25585605,636046256
2025-06-27,600690.SH,23.69,23.92,23.52,23.73,33619957,836527697
2025-06-30,600690.SH,23.77,23.85,23.63,23.67,28842326,716025198
2025-07-01,600690.SH,23.69,23.71,23.61,23.65,18101752,447867895
2025-07-02,600690.SH,23.66,24.54,23.62,24.44,78143754,1979120189
2025-07-03,600690.SH,24.45,24.63,24.20,24.60,38167696,976615071
2025-07-04,600690.SH,24.54,24.84,24.41,24.69,35349619,912210771
2025-07-07,600690.SH,24.69,24.75,24.29,24.47,22793034,583620434
2025-07-08,600690.SH,24.51,24.55,24.31,24.38,23394511,597903610
2025-07-09,600690.SH,24.41,24.58,24.12,24.16,34281109,873696250
2025-07-10,600690.SH,24.18,24.32,24.04,24.12,33938804,858424833
2025-07-11,600690.SH,24.17,24.61,24.13,24.22,57850832,1479579786
2025-07-14,600690.SH,24.27,24.48,24.22,24.27,30263732,770991237
2025-07-15,600690.SH,24.39,24.75,24.29,24.65,46882950,1204431130
2025-07-16,600690.SH,24.68,24.87,24.48,24.53,26392858,678948120
2025-07-17,600690.SH,24.53,24.93,24.48,24.66,38335868,991616327
2025-07-18,600690.SH,24.72,24.83,24.48,24.64,32726734,843681567
2025-07-21,600690.SH,24.69,24.89,24.63,24.89,39548310,1026316496
2025-07-22,600690.SH,24.88,25.65,24.79,25.61,81126858,2146204337
2025-07-23,600690.SH,25.61,26.35,25.61,26.27,86421261,2360142670
