trade_date,wind_code,open,high,low,close,volume,amt
2025-01-02,000333.SZ,68.09,69.72,67.73,68.02,41367089,3143071622
2025-01-03,000333.SZ,67.73,68.69,66.74,67.45,29642200,2225340636
2025-01-06,000333.SZ,67.44,68.88,67.08,68.07,30681009,2308954916
2025-01-07,000333.SZ,67.73,69.32,67.28,68.57,25178525,1913943076
2025-01-08,000333.SZ,68.19,70.13,68.12,70.06,40692962,3129132562
2025-01-09,000333.SZ,70.17,71.34,69.72,71.10,34598694,2715146336
2025-01-10,000333.SZ,71.10,71.24,68.97,68.97,27109567,2093133229
2025-01-13,000333.SZ,68.28,68.65,66.76,67.10,25584606,1911136129
2025-01-14,000333.SZ,67.10,68.04,66.31,67.39,28858396,2150563704
2025-01-15,000333.SZ,67.40,68.42,66.46,66.66,25663453,1910565918
2025-01-16,000333.SZ,66.82,68.13,66.74,66.91,26233035,1953070088
2025-01-17,000333.SZ,66.90,67.61,66.49,67.14,15928751,1184446629
2025-01-20,000333.SZ,67.82,69.30,67.62,67.63,29699251,2245932516
2025-01-21,000333.SZ,67.96,67.99,67.02,67.19,16286277,1217315662
2025-01-22,000333.SZ,67.17,67.17,65.27,65.92,32217997,2351219471
2025-01-23,000333.SZ,66.28,66.75,65.38,66.29,27008672,1981526548
2025-01-24,000333.SZ,65.93,66.50,65.52,65.76,30486076,2224547325
2025-01-27,000333.SZ,65.80,67.10,65.58,66.72,28011516,2066038991
2025-02-05,000333.SZ,66.28,66.55,64.73,65.21,36351088,2623254186
2025-02-06,000333.SZ,65.18,65.53,64.50,65.26,28567493,2058313211
2025-02-07,000333.SZ,65.38,66.32,64.72,66.32,35534968,2588044043
2025-02-10,000333.SZ,66.21,66.22,65.47,65.93,31864987,2324957366
2025-02-11,000333.SZ,66.32,66.70,65.57,66.55,30044016,2200715457
2025-02-12,000333.SZ,66.34,66.46,65.63,66.18,22807278,1667138730
2025-02-13,000333.SZ,65.92,66.27,65.14,65.15,41066444,2979276852
2025-02-14,000333.SZ,65.13,65.64,64.93,65.46,23435076,1697819619
2025-02-17,000333.SZ,65.25,65.44,64.34,65.06,40235806,2886662764
2025-02-18,000333.SZ,65.01,65.61,64.60,64.93,29346513,2117878259
2025-02-19,000333.SZ,64.39,64.99,64.12,64.52,33715017,2408852125
2025-02-20,000333.SZ,64.49,64.76,64.17,64.32,31420228,2241810157
2025-02-21,000333.SZ,64.13,64.32,63.39,63.75,55339013,3903770927
2025-02-24,000333.SZ,63.80,64.57,63.47,64.02,46937741,3326317437
2025-02-25,000333.SZ,63.66,63.82,62.29,62.34,56599867,3932087508
2025-02-26,000333.SZ,62.05,63.36,62.04,63.32,40412376,2820753654
2025-02-27,000333.SZ,64.12,65.66,63.78,65.45,65248235,4700242778
2025-02-28,000333.SZ,65.70,66.37,65.11,65.97,50647934,3702978856
2025-03-03,000333.SZ,65.65,65.91,63.98,64.12,40591782,2908667199
2025-03-04,000333.SZ,64.37,65.44,64.37,64.99,30041994,2159097772
2025-03-05,000333.SZ,64.93,65.15,64.30,64.79,28618620,2050696436
2025-03-06,000333.SZ,64.94,64.99,63.59,64.24,40239881,2857881528
2025-03-07,000333.SZ,64.22,64.33,63.45,63.93,31482660,2228492957
2025-03-10,000333.SZ,63.94,64.35,63.67,64.18,27344026,1937259286
2025-03-11,000333.SZ,63.66,64.51,63.48,64.05,25282497,1788427242
2025-03-12,000333.SZ,64.10,64.10,63.30,63.30,30130110,2117631624
2025-03-13,000333.SZ,63.22,63.80,63.04,63.22,25262164,1774959974
2025-03-14,000333.SZ,63.24,65.11,63.05,64.90,42544964,3036261982
2025-03-17,000333.SZ,65.49,65.49,64.66,64.91,34733287,2497780791
2025-03-18,000333.SZ,65.02,68.72,64.67,67.71,77931396,5762238290
2025-03-19,000333.SZ,69.74,70.38,67.76,69.09,106626103,8164296255
2025-03-20,000333.SZ,68.99,69.40,67.82,67.88,58569319,4434498828
2025-03-21,000333.SZ,67.52,69.02,67.52,67.98,38452793,2903191225
2025-03-24,000333.SZ,67.62,69.08,67.57,68.69,38734811,2945134162
2025-03-25,000333.SZ,69.36,69.99,68.97,69.41,32418622,2493718323
2025-03-26,000333.SZ,69.06,69.90,68.51,69.35,23706858,1814277211
2025-03-27,000333.SZ,69.35,69.99,68.92,69.08,25721538,1974042919
2025-03-28,000333.SZ,68.82,69.70,68.34,69.42,24911431,1909917934
2025-03-31,000333.SZ,69.44,72.70,69.44,70.89,68968445,5458996643
2025-04-01,000333.SZ,70.53,71.14,67.91,68.08,55181654,4204786523
2025-04-02,000333.SZ,68.04,69.35,67.90,68.60,26853625,2036925144
2025-04-03,000333.SZ,67.37,67.58,66.06,66.25,56598874,4179850012
2025-04-07,000333.SZ,61.61,62.73,59.62,60.67,88089693,5986991841
2025-04-08,000333.SZ,61.41,63.66,61.22,63.42,74473332,5151771418
2025-04-09,000333.SZ,62.48,63.66,61.79,62.92,57883954,4027838482
2025-04-10,000333.SZ,63.76,64.65,63.33,64.20,45084852,3199356700
2025-04-11,000333.SZ,63.68,63.88,62.88,63.66,29562589,2075657472
2025-04-14,000333.SZ,63.86,64.03,62.95,63.14,34883505,2447104070
2025-04-15,000333.SZ,63.30,64.87,62.93,64.55,34366681,2441442777
2025-04-16,000333.SZ,64.29,64.55,63.55,64.12,26672943,1890971340
2025-04-17,000333.SZ,63.88,64.27,63.52,64.07,19591273,1388823325
2025-04-18,000333.SZ,64.07,64.41,63.64,64.04,15448383,1094653676
2025-04-21,000333.SZ,63.92,64.67,63.66,64.47,17751380,1262930782
2025-04-22,000333.SZ,64.39,65.23,64.31,64.77,22615500,1626765493
2025-04-23,000333.SZ,65.11,65.40,64.84,64.88,22586871,1627423197
