trade_date,wind_code,open,high,low,close,volume,amt
2019-01-02,801110.SI,5007.91,5008.05,4924.43,4931.01,494720000,4931410000
2019-01-03,801110.SI,4920.97,4971.34,4895.69,4904.65,524880000,4422130000
2019-01-04,801110.SI,4866.04,5011.76,4853.48,5010.37,736880000,6585440000
2019-01-07,801110.SI,5067.50,5067.50,5000.71,5031.36,871570000,6858120000
2019-01-08,801110.SI,5026.20,5061.20,5008.40,5039.16,1023890000,5889410000
2019-01-09,801110.SI,5176.40,5303.40,5163.39,5235.68,1528790000,15708550000
2019-01-10,801110.SI,5220.66,5275.32,5200.28,5236.11,1119960000,8981100000
2019-01-11,801110.SI,5261.12,5269.43,5200.94,5266.02,939360000,7278880000
2019-01-14,801110.SI,5271.04,5290.04,5225.32,5235.15,742500000,5546140000
2019-01-15,801110.SI,5241.26,5393.70,5239.97,5385.39,926080000,9197840000
2019-01-16,801110.SI,5384.84,5425.08,5365.87,5402.90,711920000,7027500000
2019-01-17,801110.SI,5353.03,5397.57,5340.81,5352.84,786210000,8651960000
2019-01-18,801110.SI,5372.72,5451.22,5359.91,5444.97,734660000,7945060000
2019-01-21,801110.SI,5452.48,5556.55,5446.47,5487.42,760960000,8238690000
2019-01-22,801110.SI,5489.47,5489.66,5392.90,5405.11,696340000,6488880000
2019-01-23,801110.SI,5382.64,5455.87,5382.64,5426.55,551750000,5488010000
2019-01-24,801110.SI,5457.45,5491.53,5418.86,5467.77,783900000,6709710000
2019-01-25,801110.SI,5485.20,5544.75,5430.18,5514.32,781320000,7678590000
2019-01-28,801110.SI,5535.66,5641.15,5512.33,5514.18,649350000,7418250000
2019-01-29,801110.SI,5508.63,5581.41,5458.52,5577.47,661820000,7457890000
2019-01-30,801110.SI,5544.31,5561.20,5500.88,5500.88,534400000,5666010000
2019-01-31,801110.SI,5544.43,5606.24,5535.29,5602.83,799370000,7976740000
2019-02-01,801110.SI,5676.88,5705.27,5622.82,5686.52,678400000,6812830000
2019-02-11,801110.SI,5675.02,5866.72,5675.01,5854.04,757880000,7690640000
2019-02-12,801110.SI,5848.44,5906.72,5832.72,5900.09,932010000,8207450000
2019-02-13,801110.SI,5921.90,5992.88,5881.37,5976.11,1477980000,10925100000
2019-02-14,801110.SI,5988.29,6064.59,5950.89,6035.32,1451860000,10449710000
2019-02-15,801110.SI,6001.59,6001.80,5844.14,5845.52,1081110000,10868810000
2019-02-18,801110.SI,5901.20,6020.64,5901.08,6017.00,1389920000,11175480000
2019-02-19,801110.SI,6042.72,6130.82,5970.44,6019.38,1379940000,11107140000
2019-02-20,801110.SI,6036.96,6037.01,5982.00,6033.47,1258040000,7994950000
2019-02-21,801110.SI,6056.68,6076.63,5975.30,5995.92,1418770000,11601540000
2019-02-22,801110.SI,5987.46,6008.35,5883.56,6008.19,1198390000,10420480000
2019-02-25,801110.SI,6132.86,6322.60,6076.42,6322.60,2178470000,19873180000
2019-02-26,801110.SI,6297.02,6303.86,6189.00,6189.00,2213070000,17754020000
2019-02-27,801110.SI,6194.70,6255.02,6121.54,6172.36,1869110000,14032390000
2019-02-28,801110.SI,6166.74,6228.28,6155.88,6181.17,1252020000,10191110000
2019-03-01,801110.SI,6223.40,6293.95,6204.56,6293.95,1197770000,12000380000
2019-03-04,801110.SI,6393.63,6566.89,6385.12,6438.65,2317560000,21046240000
2019-03-05,801110.SI,6494.90,6570.50,6460.56,6564.36,2614660000,19260640000
2019-03-06,801110.SI,6645.02,6681.23,6563.89,6629.18,3037630000,22747530000
2019-03-07,801110.SI,6636.06,6636.06,6458.24,6506.44,2714390000,22458230000
2019-03-08,801110.SI,6374.16,6449.05,6244.45,6244.45,3096990000,24182080000
2019-03-11,801110.SI,6242.21,6403.92,6241.36,6402.27,2218850000,16723120000
2019-03-12,801110.SI,6462.30,6462.30,6310.07,6363.42,2330960000,20047340000
2019-03-13,801110.SI,6366.28,6381.30,6292.55,6325.61,1942050000,15760660000
2019-03-14,801110.SI,6304.43,6390.20,6265.02,6312.86,1782120000,14500340000
2019-03-15,801110.SI,6375.05,6573.43,6374.93,6518.40,1660880000,18970450000
2019-03-18,801110.SI,6507.50,6674.61,6482.09,6674.61,1576760000,17156650000
2019-03-19,801110.SI,6690.94,6711.79,6597.98,6643.62,1621300000,14758190000
2019-03-20,801110.SI,6632.63,6640.70,6503.07,6578.65,1515860000,13512570000
2019-03-21,801110.SI,6560.95,6592.36,6512.85,6558.10,1851980000,15007740000
2019-03-22,801110.SI,6565.22,6598.37,6489.44,6589.81,2045700000,15281480000
2019-03-25,801110.SI,6514.07,6595.04,6469.33,6475.41,2821690000,20326340000
2019-03-26,801110.SI,6509.83,6509.83,6342.34,6391.26,2384790000,17490510000
2019-03-27,801110.SI,6432.33,6512.62,6382.44,6510.28,1657750000,13853850000
2019-03-28,801110.SI,6481.89,6534.60,6434.43,6455.92,1392180000,12522900000
2019-03-29,801110.SI,6450.34,6667.88,6450.23,6660.91,1548390000,16728510000
2019-04-01,801110.SI,6699.32,6984.99,6699.32,6963.03,1965550000,20491210000
2019-04-02,801110.SI,6970.77,6973.44,6882.30,6892.98,1723370000,15862520000
2019-04-03,801110.SI,6867.24,6955.40,6862.16,6941.91,1306220000,12158050000
2019-04-04,801110.SI,6939.77,7014.03,6939.77,6996.53,1386650000,13047890000
2019-04-08,801110.SI,7005.99,7096.25,6921.68,6982.46,1473250000,14029560000
2019-04-09,801110.SI,7250.79,7311.43,7206.36,7252.29,1518670000,14231690000
2019-04-10,801110.SI,7426.43,7474.77,7276.66,7436.56,1813100000,31286810000
2019-04-11,801110.SI,7437.29,7437.29,7165.72,7177.68,1530830000,22298260000
2019-04-12,801110.SI,7141.35,7196.66,6977.76,7084.26,1211900000,16101740000
2019-04-15,801110.SI,7201.41,7381.68,7172.43,7172.43,1216190000,18359780000
2019-04-16,801110.SI,7129.05,7350.68,7096.74,7350.68,1236040000,15065650000
2019-04-17,801110.SI,7361.70,7416.76,7261.05,7341.79,1370600000,15233650000
2019-04-18,801110.SI,7421.16,7491.75,7414.93,7440.79,1599620000,17343270000
2019-04-19,801110.SI,7422.38,7799.75,7352.19,7772.08,1638730000,19225620000
2019-04-22,801110.SI,7713.29,7713.29,7426.10,7444.72,1551400000,20980320000
2019-04-23,801110.SI,7389.83,7429.06,7281.61,7362.33,1072060000,14899010000
2019-04-24,801110.SI,7404.00,7404.00,7239.93,7334.33,980080000,13099580000
2019-04-25,801110.SI,7276.67,7276.80,7080.48,7092.62,1064940000,14032970000
2019-04-26,801110.SI,7064.69,7102.61,6911.29,6920.21,909040000,12855620000
2019-04-29,801110.SI,6900.27,7114.04,6889.70,7015.93,1088940000,15371540000
2019-04-30,801110.SI,6902.25,7084.99,6902.22,7011.87,788660000,12757220000
2019-05-06,801110.SI,6727.28,6742.69,6524.79,6534.35,1083910000,17525550000
2019-05-07,801110.SI,6621.39,6789.82,6621.39,6725.89,789300000,13882440000
2019-05-08,801110.SI,6631.52,6743.21,6626.11,6655.28,624420000,7287570000
2019-05-09,801110.SI,6609.69,6641.21,6536.87,6602.32,597630000,7725180000
2019-05-10,801110.SI,6676.89,6848.04,6576.07,6824.23,829220000,10244300000
2019-05-13,801110.SI,6712.94,6808.78,6712.94,6739.87,648790000,6837660000
2019-05-14,801110.SI,6673.38,6747.56,6661.59,6694.03,751370000,8079490000
2019-05-15,801110.SI,6763.03,6873.95,6752.42,6858.08,873340000,10237350000
2019-05-16,801110.SI,6847.99,6903.71,6842.05,6890.61,816030000,7798090000
2019-05-17,801110.SI,6891.87,6898.05,6738.28,6759.36,1078890000,10133790000
2019-05-20,801110.SI,6739.66,6762.39,6645.86,6708.54,927230000,8705220000
2019-05-21,801110.SI,6713.60,6863.17,6713.60,6827.93,878260000,8826640000
2019-05-22,801110.SI,6866.11,6939.50,6793.33,6817.91,800340000,10663610000
2019-05-23,801110.SI,6782.79,6783.13,6612.37,6615.81,748590000,9836300000
2019-05-24,801110.SI,6599.80,6701.23,6599.80,6647.15,688650000,8390870000
2019-05-27,801110.SI,6652.05,6707.75,6541.29,6679.81,691120000,8052210000
2019-05-28,801110.SI,6678.90,6808.31,6668.65,6756.78,711140000,8738240000
2019-05-29,801110.SI,6687.98,6764.75,6669.80,6709.95,652640000,6967780000
2019-05-30,801110.SI,6644.40,6644.40,6544.80,6594.28,748600000,8822540000
2019-05-31,801110.SI,6573.24,6659.61,6547.48,6569.14,588100000,7202910000
2019-06-03,801110.SI,6594.32,6670.55,6542.73,6579.62,630910000,7291430000
2019-06-04,801110.SI,6579.48,6608.80,6450.22,6484.56,522390000,6456020000
2019-06-05,801110.SI,6562.49,6596.98,6462.20,6514.95,528450000,7368030000
2019-06-06,801110.SI,6541.11,6541.11,6425.73,6460.51,526080000,5938210000
2019-06-10,801110.SI,6507.21,6565.07,6473.95,6543.24,448840000,6049870000
2019-06-11,801110.SI,6533.90,6743.27,6529.86,6724.85,760960000,10554650000
2019-06-12,801110.SI,6710.69,6710.69,6636.79,6657.40,590450000,7444680000
2019-06-13,801110.SI,6648.02,6648.17,6504.90,6573.93,530310000,7774210000
2019-06-14,801110.SI,6587.57,6633.57,6522.31,6524.61,542690000,5716920000
2019-06-17,801110.SI,6534.57,6568.46,6483.51,6501.52,365750000,4862970000
2019-06-18,801110.SI,6503.42,6546.96,6463.23,6518.21,304480000,3946090000
2019-06-19,801110.SI,6678.51,6723.82,6643.81,6643.81,554950000,7973720000
2019-06-20,801110.SI,6661.84,6874.26,6661.82,6834.32,761720000,11090330000
2019-06-21,801110.SI,6839.32,6893.98,6753.73,6780.75,868510000,11386350000
2019-06-24,801110.SI,6790.06,6876.84,6742.23,6830.49,634010000,8634810000
2019-06-25,801110.SI,6826.95,6827.22,6690.91,6768.53,571310000,7562610000
2019-06-26,801110.SI,6741.54,6815.33,6737.55,6796.80,443900000,5787140000
2019-06-27,801110.SI,6821.36,6882.89,6804.29,6843.82,553330000,8259640000
2019-06-28,801110.SI,6845.21,6856.06,6791.38,6829.93,502910000,5842820000
2019-07-01,801110.SI,6971.72,7184.85,6969.53,7157.09,847430000,13916030000
2019-07-02,801110.SI,7132.00,7214.69,7126.47,7191.00,669920000,9933110000
2019-07-03,801110.SI,7192.02,7203.81,7060.02,7097.80,594910000,8530920000
