trade_date,wind_code,open,high,low,close,volume,amt
2025-01-02,600323.SH,22.05,22.35,21.47,21.73,7449411,175438491
2025-01-03,600323.SH,21.85,22.38,21.85,22.07,5415292,128360884
2025-01-06,600323.SH,22.03,22.21,21.56,21.81,6231593,145413984
2025-01-07,600323.SH,21.84,21.97,20.68,21.00,11241760,254417222
2025-01-08,600323.SH,21.01,21.14,20.64,20.79,4821839,107957694
2025-01-09,600323.SH,20.70,20.82,20.45,20.51,3613927,79658367
2025-01-10,600323.SH,20.51,20.79,20.45,20.48,3544300,78245404
2025-01-13,600323.SH,20.48,21.00,20.21,20.40,5622111,123439567
2025-01-14,600323.SH,20.40,21.09,20.39,21.05,7575195,168969071
2025-01-15,600323.SH,21.19,21.19,20.75,20.79,4860359,108869152
2025-01-16,600323.SH,21.00,21.00,20.42,20.43,4259813,94334328
2025-01-17,600323.SH,20.43,21.02,20.30,20.59,4739957,105200853
2025-01-20,600323.SH,20.68,21.08,20.66,20.91,4203452,94298846
2025-01-21,600323.SH,20.92,21.15,20.64,21.06,3750796,83967999
2025-01-22,600323.SH,21.00,21.14,20.72,20.98,2512447,56342716
2025-01-23,600323.SH,20.98,21.40,20.79,20.86,4074687,91783408
2025-01-24,600323.SH,20.85,21.08,20.76,21.00,3614318,81095911
2025-01-27,600323.SH,21.06,21.33,20.90,21.21,4161505,94526492
2025-02-05,600323.SH,21.41,21.41,20.75,20.79,5053800,114090458
2025-02-06,600323.SH,20.87,20.94,20.51,20.71,4375000,96930528
2025-02-07,600323.SH,20.69,20.92,20.48,20.77,6022901,133528106
2025-02-10,600323.SH,20.76,20.86,20.51,20.55,6443221,142369081
2025-02-11,600323.SH,20.54,20.81,20.53,20.59,4855796,107322119
2025-02-12,600323.SH,20.54,20.65,20.28,20.32,5876351,128567907
2025-02-13,600323.SH,20.35,20.39,20.04,20.06,5832323,125626619
2025-02-14,600323.SH,20.12,20.23,18.06,19.85,6192483,132487795
2025-02-17,600323.SH,19.93,19.94,18.91,18.96,13582394,278126691
2025-02-18,600323.SH,19.39,19.96,19.35,19.84,12229183,258490090
2025-02-19,600323.SH,19.97,20.36,19.79,19.93,8774100,188755525
2025-02-20,600323.SH,19.98,20.49,19.65,20.27,7173214,155032422
2025-02-21,600323.SH,20.32,20.35,19.93,20.07,5334011,114444136
2025-02-24,600323.SH,20.23,21.32,20.16,21.19,12953258,291412468
2025-02-25,600323.SH,21.19,21.61,20.97,21.36,7976101,182258538
2025-02-26,600323.SH,21.24,21.44,20.77,21.09,7469608,168819619
2025-02-27,600323.SH,21.18,21.19,20.73,20.79,5162300,115468871
2025-02-28,600323.SH,20.79,20.89,20.34,20.49,5719500,125717002
2025-03-03,600323.SH,20.57,20.60,20.31,20.35,4102062,89857496
2025-03-04,600323.SH,20.32,20.59,20.17,20.42,3196900,69984799
2025-03-05,600323.SH,20.42,20.68,20.32,20.38,2786200,61068531
2025-03-06,600323.SH,20.44,20.53,19.70,19.81,13618701,290853836
2025-03-07,600323.SH,19.77,20.12,19.73,19.84,6346644,135227223
2025-03-10,600323.SH,19.75,19.86,19.61,19.80,6099001,128827308
2025-03-11,600323.SH,19.67,19.86,19.60,19.80,2998800,63484749
2025-03-12,600323.SH,19.80,19.85,19.71,19.77,2813941,59649778
2025-03-13,600323.SH,19.87,20.00,19.67,19.86,4322500,91808158
2025-03-14,600323.SH,19.89,20.04,19.73,19.94,5277558,112473974
2025-03-17,600323.SH,19.99,20.50,19.91,20.32,8320590,180222909
2025-03-18,600323.SH,20.72,22.27,20.54,21.43,21945827,505895849
2025-03-19,600323.SH,21.11,21.56,20.57,20.63,9992901,223713263
2025-03-20,600323.SH,20.63,21.40,20.62,20.86,8886512,200755632
2025-03-21,600323.SH,20.86,21.24,20.80,21.07,8229760,186285393
2025-03-24,600323.SH,21.33,21.90,21.10,21.36,10125479,233558205
2025-03-25,600323.SH,21.41,21.50,21.02,21.36,7552299,171914099
2025-03-26,600323.SH,21.48,21.61,21.14,21.42,6456300,147591323
2025-03-27,600323.SH,21.42,22.27,21.19,22.04,10252111,239396355
2025-03-28,600323.SH,22.26,22.94,22.05,22.38,10127553,243676087
2025-03-31,600323.SH,22.37,22.61,21.73,22.30,9663160,229688967
2025-04-01,600323.SH,22.10,22.88,22.06,22.74,9354460,227236989
2025-04-02,600323.SH,22.74,22.87,22.47,22.52,4857640,117695513
2025-04-03,600323.SH,22.45,23.22,22.34,22.72,13920510,341783537
2025-04-07,600323.SH,21.75,22.87,21.27,21.46,22172216,523094489
2025-04-08,600323.SH,21.70,22.40,21.61,22.02,12676079,297514309
2025-04-09,600323.SH,21.93,22.00,21.28,21.81,9846944,228311502
2025-04-10,600323.SH,21.99,22.02,21.47,21.65,10840088,252124993
2025-04-11,600323.SH,21.54,22.64,21.49,21.76,13207871,313113111
2025-04-14,600323.SH,21.81,22.30,21.51,21.93,8826500,207650243
2025-04-15,600323.SH,22.17,22.37,21.81,22.23,7404773,175913239
2025-04-16,600323.SH,22.21,22.46,22.09,22.43,6305780,150962942
2025-04-17,600323.SH,22.49,22.50,21.99,22.14,5262500,124922143
2025-04-18,600323.SH,22.03,22.11,21.85,21.92,3552900,83512359
2025-04-21,600323.SH,21.84,22.01,21.70,21.73,3732354,87261103
2025-04-22,600323.SH,21.81,22.09,21.64,22.01,4377120,102926934
2025-04-23,600323.SH,22.09,22.22,21.65,21.72,4226113,98971758
2025-04-24,600323.SH,21.72,21.92,21.55,21.69,4105044,95544323
2025-04-25,600323.SH,21.68,21.78,21.37,21.54,5609834,129152763
2025-04-28,600323.SH,21.47,21.76,21.38,21.63,4497600,104186156
2025-04-29,600323.SH,21.86,22.26,21.64,21.90,4568659,107188629
2025-04-30,600323.SH,21.86,22.01,21.65,21.65,3902269,91133894
2025-05-06,600323.SH,21.65,21.91,21.48,21.73,6605617,153722605
2025-05-07,600323.SH,21.75,22.20,21.75,21.89,4590346,108024049
2025-05-08,600323.SH,21.82,21.97,21.65,21.68,4079918,94994115
2025-05-09,600323.SH,21.65,22.18,21.63,22.16,6004328,140812738
2025-05-12,600323.SH,22.12,22.21,21.67,22.18,6263600,147586650
2025-05-13,600323.SH,22.18,22.51,21.99,22.41,6508567,155765262
2025-05-14,600323.SH,22.49,22.55,22.01,22.23,4942352,117532485
2025-05-15,600323.SH,22.23,22.64,22.19,22.54,5580294,134267046
2025-05-16,600323.SH,22.68,23.14,22.51,22.53,7590933,185193199
2025-05-19,600323.SH,22.54,23.15,22.32,23.12,7136596,174845102
2025-05-20,600323.SH,23.09,23.28,22.96,23.11,5104137,126347300
2025-05-21,600323.SH,23.22,23.61,23.04,23.52,5424419,135511968
2025-05-22,600323.SH,23.56,23.56,23.06,23.16,4606567,114926464
