trade_date,wind_code,open,high,low,close,volume,amt
2025-07-01,000002.SZ,6.42,6.42,6.31,6.35,59831800,380416981
2025-07-02,000002.SZ,6.36,6.52,6.34,6.5,131085904,843883002
2025-07-03,000002.SZ,6.48,6.55,6.44,6.46,81014012,524884085
2025-07-04,000002.SZ,6.48,6.52,6.41,6.44,78668847,507693643
2025-07-07,000002.SZ,6.44,6.59,6.44,6.52,120538148,788025611
2025-07-08,000002.SZ,6.51,6.58,6.47,6.56,93478326,610035074
2025-07-09,000002.SZ,6.54,6.58,6.52,6.54,73591657,481726010
2025-07-10,000002.SZ,6.52,6.87,6.51,6.76,251702913,1686568539
2025-07-11,000002.SZ,6.75,6.79,6.68,6.76,162870659,1099511183
2025-07-14,000002.SZ,6.73,6.79,6.63,6.66,120552525,804732025
2025-07-15,000002.SZ,6.64,6.65,6.46,6.6,152132047,995641915
2025-07-16,000002.SZ,6.55,6.65,6.53,6.56,84908116,558859431
2025-07-17,000002.SZ,6.56,6.59,6.51,6.56,70966370,464455717
2025-07-18,000002.SZ,6.57,6.59,6.54,6.57,57403003,376631218
2025-07-21,000002.SZ,6.56,6.61,6.55,6.6,74411098,490610467
2025-07-22,000002.SZ,6.61,6.72,6.53,6.7,148801040,987611725
2025-07-23,000002.SZ,6.73,6.83,6.68,6.72,170675431,1152841043
2025-07-24,000002.SZ,6.7,6.84,6.67,6.81,184232987,1250384461
2025-07-25,000002.SZ,6.81,6.84,6.76,6.78,123594926,838988937
2025-07-28,000002.SZ,6.78,6.84,6.68,6.79,119404153,808397624
2025-07-29,000002.SZ,6.76,6.81,6.7,6.81,99347899,672095323
2025-07-30,000002.SZ,6.8,6.88,6.69,6.7,158927796,1079201559
2025-07-31,000002.SZ,6.67,6.68,6.42,6.44,229951072,1496029078
2025-08-01,000002.SZ,6.44,6.46,6.39,6.39,92360371,592783868
2025-08-04,000002.SZ,6.37,6.41,6.35,6.41,59030369,376646700
2025-08-05,000002.SZ,6.41,6.45,6.39,6.45,65263413,419615794
2025-08-06,000002.SZ,6.43,6.45,6.4,6.44,56847005,365204938
2025-08-07,000002.SZ,6.43,6.48,6.4,6.47,77603831,500342603
2025-08-08,000002.SZ,6.46,6.47,6.42,6.45,51430738,331191661
2025-08-11,000002.SZ,6.48,6.52,6.47,6.48,82178878,533689824
2025-08-12,000002.SZ,6.46,6.5,6.45,6.47,73421761,475510584
2025-08-13,000002.SZ,6.48,6.5,6.43,6.46,81074221,524044608
2025-08-14,000002.SZ,6.46,6.55,6.43,6.43,120142307,779372848
2025-08-15,000002.SZ,6.43,6.59,6.42,6.53,159536835,1041380521
2025-08-18,000002.SZ,6.53,6.56,6.48,6.5,138162542,898811495
2025-08-19,000002.SZ,6.54,6.61,6.51,6.53,162418652,1066264304
2025-08-20,000002.SZ,6.52,6.6,6.49,6.55,129958230,847768491
2025-08-21,000002.SZ,6.55,6.59,6.53,6.56,129478430,850028798
2025-08-22,000002.SZ,6.56,6.56,6.51,6.56,130769944,854125575
2025-08-25,000002.SZ,6.66,7.22,6.65,7.16,792389790,5619264696
2025-08-26,000002.SZ,6.98,7.03,6.9,6.99,437946406,3051239669
2025-08-27,000002.SZ,6.95,7.01,6.74,6.74,297615220,2042648128
2025-08-28,000002.SZ,6.75,6.81,6.62,6.77,211908852,1425708353
2025-08-29,000002.SZ,6.89,6.92,6.78,6.79,197939254,1354532777
2025-09-01,000002.SZ,6.76,6.86,6.7,6.81,140682543,953846377
2025-09-02,000002.SZ,6.8,6.89,6.68,6.72,206024978,1394222969
2025-09-03,000002.SZ,6.75,6.79,6.56,6.58,174594262,1158963334
2025-09-04,000002.SZ,6.59,6.6,6.48,6.53,153722519,1005294604
2025-09-05,000002.SZ,6.53,6.59,6.49,6.59,117109143,766112847
2025-09-08,000002.SZ,6.72,6.89,6.72,6.76,232037715,1572093121
2025-09-09,000002.SZ,6.79,6.91,6.74,6.86,217939804,1494592694
2025-09-10,000002.SZ,6.81,6.86,6.76,6.86,139719676,950570519
2025-09-11,000002.SZ,6.82,6.84,6.73,6.83,146290475,992115321
2025-09-12,000002.SZ,6.83,7.14,6.83,6.94,322089159,2235885454
2025-09-15,000002.SZ,6.92,7.04,6.82,6.97,228923025,1584580818
2025-09-16,000002.SZ,6.95,7.05,6.89,7.04,222680538,1553899604
2025-09-17,000002.SZ,7.03,7.08,6.93,7.05,166363987,1165912724
2025-09-18,000002.SZ,6.98,6.99,6.72,6.77,255296864,1748915147
2025-09-19,000002.SZ,6.75,7.04,6.68,6.98,273315185,1881123059
2025-09-22,000002.SZ,6.9,7.1,6.83,7.0,225903866,1573171750
2025-09-23,000002.SZ,6.94,6.95,6.68,6.76,184520337,1250871499
2025-09-24,000002.SZ,6.71,6.94,6.69,6.84,157167516,1075298493
2025-09-25,000002.SZ,6.83,6.9,6.76,6.8,123401975,840051757
2025-09-26,000002.SZ,6.76,6.98,6.73,6.8,150902413,1034089811
2025-09-29,000002.SZ,6.78,6.87,6.65,6.81,163457195,1102204585
2025-09-30,000002.SZ,6.8,6.93,6.76,6.89,176304882,1211551715
2025-10-09,000002.SZ,6.8,6.81,6.6,6.79,252340339,1690536827
2025-10-10,000002.SZ,6.72,6.89,6.72,6.75,154834035,1050128720
2025-10-13,000002.SZ,6.52,6.63,6.47,6.57,217774292,1425261306
2025-10-14,000002.SZ,6.57,6.69,6.52,6.53,191306411,1262009198
2025-10-15,000002.SZ,6.52,6.57,6.42,6.49,176606612,1144865927
2025-10-16,000002.SZ,6.47,6.48,6.38,6.4,143472425,921148581
2025-10-17,000002.SZ,6.39,6.43,6.31,6.32,142901329,909191870
2025-10-20,000002.SZ,6.33,6.35,6.3,6.34,86861280,549071835
2025-10-21,000002.SZ,6.33,6.41,6.31,6.4,101903523,650370893
2025-10-22,000002.SZ,6.36,6.44,6.35,6.38,78030249,498606559
2025-10-23,000002.SZ,6.41,6.43,6.33,6.38,75366863,479621653
2025-10-24,000002.SZ,6.36,6.39,6.34,6.36,73857863,469613402
2025-10-27,000002.SZ,6.37,6.38,6.31,6.32,105394409,667073659
2025-10-28,000002.SZ,6.32,6.33,6.26,6.27,91790019,577519765
2025-10-29,000002.SZ,6.26,6.32,6.24,6.31,85716082,539296509
2025-10-30,000002.SZ,6.31,6.32,6.26,6.27,73745911,463346536
2025-10-31,000002.SZ,6.24,6.3,6.2,6.27,84510209,529341765
2025-11-03,000002.SZ,6.28,6.32,6.26,6.3,68957100,433621136
2025-11-04,000002.SZ,6.28,6.3,6.21,6.23,107737250,672486858
2025-11-05,000002.SZ,6.2,6.24,6.16,6.22,69200728,429343470
