item,value,period,source,asof
太阳纸业 总市值(亿元),374.19,2026-07-17,Wind,2026-07-17
太阳纸业 PE_TTM,11.44,2026-07-17,Wind,2026-07-17
太阳纸业 PB_LF,1.22,2026-07-17,Wind,2026-07-17
太阳纸业 2026Q1营收同比(%),1.87,2026Q1,Wind,2026-07-17
太阳纸业 2026Q1归母净利同比(%),2.29,2026Q1,Wind,2026-07-17
顾家家居 总市值(亿元),188.69,2026-07-17,Wind,2026-07-17
顾家家居 PE_TTM,10.68,2026-07-17,Wind,2026-07-17
顾家家居 PB_LF,1.9,2026-07-17,Wind,2026-07-17
顾家家居 2026Q1营收同比(%),2.42,2026Q1,Wind,2026-07-17
顾家家居 2026Q1归母净利同比(%),-4.39,2026Q1,Wind,2026-07-17
轻工制造指数 YTD(%),-20.3,2026年初至7-17,Wind/industry_master,2026-07-17
轻工制造指数 PE,29.13,2026-07-17,Wind/industry_master,2026-07-17
轻工制造指数 PB,1.64,2026-07-17,Wind/industry_master,2026-07-17
行业 2026Q1营收同比(%),4.5,2026Q1,industry_master(交易所披露聚合),2026-07-17
行业 2026Q1毛利率(%),19.7,2026Q1,industry_master,2026-07-17
行业 毛利率同比变动(pt),-0.56,2026Q1,industry_master,2026-07-17
行业 2025净利同比(%),-26.22,2025全年,industry_master,2026-07-17
家具类零售额 H1累计同比(%),-3.7,2026H1,国家统计局,2026-07-15
家具类零售额 6月单月同比(%),-6.6,2026-06,国家统计局,2026-07-15
