trade_date,wind_code,open,high,low,close,volume,amt
2024-01-02,600415.SH,6.71,6.75,6.62,6.65,25436294,185570946
2024-01-03,600415.SH,6.64,6.69,6.57,6.64,18064582,130790929
2024-01-04,600415.SH,6.64,6.64,6.54,6.60,16808982,120903906
2024-01-05,600415.SH,6.56,6.64,6.46,6.50,18465992,132181703
2024-01-08,600415.SH,6.50,6.51,6.34,6.36,21778992,152702407
2024-01-09,600415.SH,6.31,6.50,6.31,6.40,20417729,143082714
2024-01-10,600415.SH,6.79,6.82,6.53,6.59,64054125,462947824
2024-01-11,600415.SH,6.56,6.75,6.53,6.71,52338075,381755983
2024-01-12,600415.SH,6.70,6.75,6.60,6.61,30438543,221999833
2024-01-15,600415.SH,6.54,6.75,6.51,6.67,32709272,239012667
2024-01-16,600415.SH,6.66,6.68,6.58,6.68,23248386,168655157
2024-01-17,600415.SH,6.65,6.69,6.53,6.54,22775684,164665303
2024-01-18,600415.SH,6.50,6.53,6.21,6.46,49164205,340789081
2024-01-19,600415.SH,6.42,6.71,6.39,6.67,55743632,400404780
2024-01-22,600415.SH,6.64,6.64,6.41,6.49,34918681,249103738
2024-01-23,600415.SH,6.46,6.54,6.35,6.49,27161824,192162199
2024-01-24,600415.SH,6.55,6.64,6.40,6.62,41571584,297212214
2024-01-25,600415.SH,6.64,7.18,6.58,7.03,81242562,611875350
2024-01-26,600415.SH,6.95,6.97,6.76,6.79,51392021,384968082
2024-01-29,600415.SH,6.82,6.99,6.79,6.82,40604388,304794552
2024-01-30,600415.SH,6.75,6.91,6.66,6.77,30778434,228385066
2024-01-31,600415.SH,6.73,6.90,6.63,6.81,45054453,333068371
2024-02-01,600415.SH,6.73,7.03,6.68,6.98,57005225,431121001
2024-02-02,600415.SH,6.99,7.14,6.41,6.75,66233056,494293648
2024-02-05,600415.SH,6.57,6.72,6.30,6.64,53406848,380045177
2024-02-06,600415.SH,6.50,7.12,6.44,7.01,62004983,465127912
2024-02-07,600415.SH,7.00,7.41,6.96,7.39,98518373,783646526
2024-02-08,600415.SH,7.51,7.74,7.29,7.34,106441876,878189517
2024-02-19,600415.SH,7.44,7.44,7.14,7.25,74798944,594343011
2024-02-20,600415.SH,7.18,7.33,7.16,7.30,46734499,370551855
2024-02-21,600415.SH,7.29,7.61,7.22,7.28,81028575,654577159
2024-02-22,600415.SH,7.25,7.31,7.19,7.27,52470108,415166648
2024-02-23,600415.SH,7.31,7.45,7.23,7.34,59488531,476415362
2024-02-26,600415.SH,7.36,7.37,7.17,7.22,56264281,445227927
2024-02-27,600415.SH,7.21,7.37,7.17,7.37,56942640,454200705
2024-02-28,600415.SH,7.39,7.60,7.25,7.25,79344407,644241984
2024-02-29,600415.SH,7.20,7.52,7.19,7.52,73011240,593526320
2024-03-01,600415.SH,7.50,7.92,7.49,7.83,107268079,911533500
2024-03-04,600415.SH,7.75,7.99,7.73,7.86,75562029,648656300
2024-03-05,600415.SH,7.85,7.92,7.78,7.82,48823688,418054122
2024-03-06,600415.SH,7.78,8.09,7.64,7.95,85857316,736892208
2024-03-07,600415.SH,7.94,8.04,7.75,7.77,49183795,423342183
2024-03-08,600415.SH,7.82,7.95,7.81,7.91,45175854,389532681
2024-03-11,600415.SH,7.90,8.39,7.85,8.26,95690940,861606922
2024-03-12,600415.SH,8.17,8.25,8.07,8.15,50275567,447768215
2024-03-13,600415.SH,8.09,8.26,8.04,8.15,47775122,426335200
2024-03-14,600415.SH,8.10,8.26,8.08,8.11,46434150,413603318
2024-03-15,600415.SH,8.08,8.29,8.08,8.22,51968010,465245768
2024-03-18,600415.SH,8.27,8.58,8.26,8.44,67957084,625281333
2024-03-19,600415.SH,8.39,8.43,8.25,8.26,49819085,450994496
2024-03-20,600415.SH,8.23,8.32,8.17,8.27,30507900,275430279
2024-03-21,600415.SH,8.27,8.38,8.15,8.30,41619308,376593773
2024-03-22,600415.SH,8.28,8.41,8.22,8.37,51470045,467678951
2024-03-25,600415.SH,8.37,8.38,8.04,8.04,56873373,508692561
2024-03-26,600415.SH,8.10,8.21,8.01,8.05,40801585,360879647
2024-03-27,600415.SH,8.07,8.11,7.85,7.90,40999579,356107991
