trade_date,wind_code,open,high,low,close,volume,amt
2024-01-02,601933.SH,2.82,2.83,2.81,2.81,20693645,58354730
2024-01-03,601933.SH,2.81,2.82,2.79,2.80,20356583,57073094
2024-01-04,601933.SH,2.80,2.81,2.76,2.78,28359783,78837160
2024-01-05,601933.SH,2.78,2.79,2.74,2.76,28879562,79786335
2024-01-08,601933.SH,2.75,2.76,2.71,2.71,28157463,76960744
2024-01-09,601933.SH,2.70,2.75,2.70,2.72,28182477,76761443
2024-01-10,601933.SH,2.72,2.78,2.68,2.76,39385261,107615464
2024-01-11,601933.SH,2.76,2.78,2.72,2.76,33576688,92334027
2024-01-12,601933.SH,2.76,2.79,2.75,2.75,27544464,76257157
2024-01-15,601933.SH,2.74,2.79,2.72,2.76,23867470,66036335
2024-01-16,601933.SH,2.76,2.76,2.71,2.74,26520700,72489516
2024-01-17,601933.SH,2.73,2.74,2.68,2.69,27969200,75581735
2024-01-18,601933.SH,2.68,2.68,2.59,2.65,48161974,126514283
2024-01-19,601933.SH,2.65,2.70,2.63,2.65,29439939,78371189
2024-01-22,601933.SH,2.65,2.65,2.52,2.54,38622522,100109407
2024-01-23,601933.SH,2.54,2.57,2.50,2.55,29363140,74576122
2024-01-24,601933.SH,2.55,2.61,2.52,2.61,43291728,111513697
2024-01-25,601933.SH,2.61,2.68,2.59,2.67,39086244,103349963
2024-01-26,601933.SH,2.67,2.69,2.65,2.67,28759308,76831886
2024-01-29,601933.SH,2.69,2.69,2.62,2.62,28464900,75435909
2024-01-30,601933.SH,2.60,2.65,2.59,2.59,29036652,76141363
2024-01-31,601933.SH,2.55,2.56,2.45,2.45,58578440,146106299
2024-02-01,601933.SH,2.43,2.47,2.39,2.41,38429128,93403506
2024-02-02,601933.SH,2.43,2.48,2.30,2.37,54933143,131951375
2024-02-05,601933.SH,2.36,2.37,2.21,2.29,76685881,175782089
2024-02-06,601933.SH,2.28,2.47,2.25,2.45,72948571,171905651
2024-02-07,601933.SH,2.46,2.61,2.43,2.60,100688738,256947091
2024-02-08,601933.SH,2.61,2.75,2.60,2.66,88519793,237912840
2024-02-19,601933.SH,2.70,2.72,2.56,2.58,67645205,176782866
2024-02-20,601933.SH,2.58,2.58,2.52,2.55,39860277,101532865
2024-02-21,601933.SH,2.54,2.63,2.52,2.56,48322864,124929393
2024-02-22,601933.SH,2.55,2.59,2.53,2.56,36220800,92521679
2024-02-23,601933.SH,2.56,2.58,2.52,2.56,44356059,113026089
2024-02-26,601933.SH,2.55,2.62,2.54,2.59,52198669,134677996
2024-02-27,601933.SH,2.59,2.65,2.58,2.65,47476833,124420928
2024-02-28,601933.SH,2.63,2.69,2.58,2.58,62177300,164364819
2024-02-29,601933.SH,2.58,2.64,2.57,2.64,43591049,113983228
