对象,期间,指标,读数,单位,备注,来源,分级
801210.SI 社会服务指数,2026-07-17,收盘,6636.1,点,YTD -24.3%，近20日 -12.3%，52周高9627.94/低6604.17(7/17盘中创新低)，MA20 7187>现价 空头排列,Wind K线,T2
中国中免 601888.SH,2026-07-17,市值/PE-TTM/PB,1086.6亿 / 26.86 / 1.93,,收盘52.90元，52周高98.93/低49.86，距高-46.5%，近20日-3.5%,Wind,T2
中国中免,2026Q1,营收/归母同比,169.06亿 +0.96% / 23.48亿 +21.18%,,,Wind(公司一季报),T1
中国中免,2026H1,营收/归母同比(快报),275.92亿 -1.99% / 31.06亿 +19.49%,,Q2单季营收约-6.3%、归母约+15%(拆分估算),公司公告2026-07-14,T1
锦江酒店 600754.SH,2026-07-17,市值/PE-TTM/PB,177.2亿 / 18.46 / 1.22,,收盘17.77元，52周高28.77/低17.13，距高-38.2%，近20日-8.9%,Wind,T2
锦江酒店,2026Q1,营收/归母同比,31.21亿 +6.37% / 1.37亿 +280.09%(低基数),,境内经济型RevPAR 94元+5.2%、中端+2.0%、境外-6.8%,Wind;东财研报2026-04-30,T1/T3
五一假期,2026-05,出游/花费/人均,3.25亿人次+3.6% / 1854.92亿+2.9% / 人均570.7元约-0.7%,,,文旅部2026-05-07,T1
端午假期,2026-06,出游/花费/人均,1.24亿人次+4.4% / 444.56亿+4.0% / 人均约-0.4%,,,文旅部2026-06-22,T1
民航,2026H1,旅客运输量,3.8亿人次 +1.0%,,国内+0.5%、国际+5.7%；暑运首周客运量-1.3%、客座率84.1%+1.0pct,民航局2026-07-16;航班管家2026-07-09,T1/T3
海南离岛免税,2026H1,销售额/人数/件数,199.2亿+18.8% / 279.3万人次+12.6% / 1596.6万件+7.3%,,客单价约7132元，约+5.5%,海口海关2026-07-08(新华社),T1
餐饮(社零),2026-05,餐饮收入同比,+0.6%；限额以上餐饮 -1.7%,,5月社零-0.6%,金融街证券引用统计局2026-07-15,T2
社服行业(申万),2026Q1/2025,营收增速/2025净利增速,+6.18% / -2.63%,,毛利率20.27%同比-0.01pct；PE 36.06、PB 2.3,industry_master.csv,T2
