trade_date,wind_code,open,high,low,close,volume,amt
2014-01-02,801970.SI,2320.06,2355.18,2295.01,2328.37,170850000,2393280000
2014-01-03,801970.SI,2326.08,2355.09,2291.17,2320.01,223440000,2828820000
2014-01-06,801970.SI,2315.96,2339.71,2257.41,2279.28,246580000,2861440000
2014-01-07,801970.SI,2266.56,2328.69,2245.38,2298.87,172190000,2329660000
2014-01-08,801970.SI,2312.01,2373.27,2292.96,2324.57,232100000,3252510000
2014-01-09,801970.SI,2321.39,2367.12,2286.94,2311.62,233890000,3123160000
2014-01-10,801970.SI,2309.18,2327.52,2230.56,2253.27,203530000,2480300000
2014-01-13,801970.SI,2245.23,2275.19,2178.33,2206.72,250610000,3034440000
2014-01-14,801970.SI,2208.15,2264.15,2187.47,2243.66,184900000,2403760000
2014-01-15,801970.SI,2244.1,2277.45,2196.54,2226.67,182490000,2691190000
2014-01-16,801970.SI,2235.58,2269.39,2192.58,2222.54,189770000,2487700000
2014-01-17,801970.SI,2204.91,2230.71,2156.24,2178.19,201640000,2458320000
2014-01-20,801970.SI,2176.63,2237.0,2140.14,2178.06,249870000,3316840000
2014-01-21,801970.SI,2176.27,2217.09,2149.0,2192.48,229680000,2701210000
2014-01-22,801970.SI,2192.06,2269.1,2175.48,2251.88,303570000,3704220000
2014-01-23,801970.SI,2251.9,2296.87,2229.87,2271.01,300590000,3679660000
2014-01-24,801970.SI,2269.75,2324.64,2249.77,2297.09,272470000,3741380000
2014-01-27,801970.SI,2287.78,2314.2,2238.12,2261.13,250490000,3361970000
2014-01-28,801970.SI,2265.72,2306.07,2224.22,2268.15,242580000,3086190000
2014-01-29,801970.SI,2269.43,2313.37,2243.88,2282.61,254350000,3309630000
2014-01-30,801970.SI,2278.24,2304.56,2233.1,2258.51,173140000,2493740000
2014-02-07,801970.SI,2247.61,2319.14,2229.13,2301.8,250810000,3388680000
2014-02-10,801970.SI,2309.42,2382.34,2292.17,2361.41,395890000,5318140000
2014-02-11,801970.SI,2365.94,2473.66,2337.43,2414.93,581390000,7729820000
2014-02-12,801970.SI,2439.38,2532.16,2416.18,2472.46,581700000,8307050000
2014-02-13,801970.SI,2493.3,2529.41,2419.3,2440.25,508960000,7477360000
2014-02-14,801970.SI,2442.15,2491.33,2414.19,2469.4,379520000,5438730000
2014-02-17,801970.SI,2480.98,2534.89,2458.0,2495.48,464930000,6683430000
2014-02-18,801970.SI,2497.28,2518.68,2431.07,2458.51,449220000,6198890000
2014-02-19,801970.SI,2465.55,2509.64,2421.2,2453.02,428680000,6097300000
2014-02-20,801970.SI,2452.17,2468.03,2366.5,2390.28,376140000,5283040000
2014-02-21,801970.SI,2388.31,2435.35,2351.23,2399.66,340570000,4836140000
2014-02-24,801970.SI,2413.24,2451.78,2367.2,2414.49,369500000,5496890000
2014-02-25,801970.SI,2414.92,2437.81,2267.31,2295.84,461130000,6641150000
2014-02-26,801970.SI,2281.92,2319.2,2211.95,2288.89,292530000,4269620000
2014-02-27,801970.SI,2294.4,2341.93,2236.35,2254.58,350070000,4664990000
2014-02-28,801970.SI,2249.14,2303.07,2211.29,2287.78,309070000,3830290000
2014-03-03,801970.SI,2288.16,2422.21,2274.38,2407.9,493760000,6785060000
2014-03-04,801970.SI,2396.29,2414.46,2337.19,2376.84,393940000,5730560000
2014-03-05,801970.SI,2390.69,2420.26,2330.93,2351.88,306600000,4261950000
2014-03-06,801970.SI,2349.01,2377.22,2289.65,2341.16,269810000,3811850000
2014-03-07,801970.SI,2338.02,2361.81,2284.69,2308.14,268670000,3730130000
2014-03-10,801970.SI,2302.95,2348.77,2239.03,2258.44,303880000,4343710000
2014-03-11,801970.SI,2248.99,2283.73,2210.27,2249.64,225490000,3251730000
2014-03-12,801970.SI,2242.7,2273.27,2190.87,2230.96,220880000,2908480000
2014-03-13,801970.SI,2229.6,2281.61,2219.2,2268.36,194230000,2820630000
2014-03-14,801970.SI,2256.67,2284.01,2215.53,2245.91,177410000,2445320000
2014-03-17,801970.SI,2249.04,2287.76,2229.09,2276.4,186200000,2523470000
2014-03-18,801970.SI,2276.23,2328.59,2256.13,2301.79,255690000,3649070000
2014-03-19,801970.SI,2287.26,2309.75,2222.09,2256.7,235890000,3638250000
2014-03-20,801970.SI,2249.38,2285.47,2175.08,2198.91,267030000,3863850000
2014-03-21,801970.SI,2181.42,2244.21,2141.61,2225.64,273800000,3483730000
2014-03-24,801970.SI,2230.87,2267.09,2197.98,2234.02,247350000,3077520000
2014-03-25,801970.SI,2220.29,2253.63,2190.29,2217.83,249270000,3115210000
2014-03-26,801970.SI,2232.88,2260.69,2195.0,2226.31,266030000,3171090000
2014-03-27,801970.SI,2230.4,2248.9,2168.89,2182.8,291080000,3445990000
2014-03-28,801970.SI,2176.31,2204.83,2096.9,2130.7,293690000,3546690000
2014-03-31,801970.SI,2128.27,2160.72,2086.23,2112.36,202120000,2296490000
2014-04-01,801970.SI,2116.9,2168.74,2104.8,2153.85,201030000,2353400000
2014-04-02,801970.SI,2156.81,2183.65,2117.85,2147.31,201950000,2381310000
2014-04-03,801970.SI,2148.42,2181.25,2117.07,2143.89,202060000,2384110000
2014-04-04,801970.SI,2142.62,2172.36,2122.74,2159.7,162260000,2012700000
