trade_date,wind_code,open,high,low,close,volume,amt
2025-01-02,601919.SH,13.57,13.68,13.04,13.12,143750848,2194344502
2025-01-03,601919.SH,13.18,13.35,13.01,13.06,103490908,1561279746
2025-01-06,601919.SH,13.17,13.21,12.82,13.05,89848447,1338291867
2025-01-07,601919.SH,12.89,12.99,12.67,12.88,92787531,1360764372
2025-01-08,601919.SH,12.85,13.14,12.73,12.84,98355312,1453168821
2025-01-09,601919.SH,12.66,12.67,12.27,12.33,138322539,1963601624
2025-01-10,601919.SH,12.45,12.46,12.30,12.34,71397188,1012511882
2025-01-13,601919.SH,12.49,12.60,12.34,12.39,104628761,1494792330
2025-01-14,601919.SH,12.39,12.70,12.35,12.65,98902182,1428560308
2025-01-15,601919.SH,12.67,12.88,12.55,12.66,101669277,1486377067
2025-01-16,601919.SH,12.57,12.73,12.49,12.58,88343115,1275820075
2025-01-17,601919.SH,12.55,12.61,12.45,12.46,61696932,884744980
2025-01-20,601919.SH,12.53,12.55,12.33,12.36,80958885,1150990819
2025-01-21,601919.SH,12.37,12.41,12.23,12.32,65535930,923731567
2025-01-22,601919.SH,12.31,12.31,12.19,12.26,56664756,794987905
2025-01-23,601919.SH,12.38,12.54,12.38,12.49,103184168,1475982891
2025-01-24,601919.SH,12.48,12.51,12.39,12.45,63618041,907531906
2025-01-27,601919.SH,12.44,12.61,12.44,12.46,69575205,997781880
2025-02-05,601919.SH,12.46,12.46,12.25,12.30,83172763,1171411751
2025-02-06,601919.SH,12.31,12.36,12.26,12.35,56701617,799922149
2025-02-07,601919.SH,12.36,12.78,12.31,12.74,131981027,1901917159
2025-02-10,601919.SH,12.69,12.69,12.53,12.54,90667438,1306943426
2025-02-11,601919.SH,12.63,12.82,12.62,12.77,104397249,1523108153
2025-02-12,601919.SH,12.77,13.01,12.68,12.78,84040538,1232977686
2025-02-13,601919.SH,12.73,12.79,12.67,12.71,56438689,822562882
2025-02-14,601919.SH,12.74,12.79,12.65,12.77,57414308,835852115
2025-02-17,601919.SH,12.80,12.94,12.74,12.93,88452000,1304004454
2025-02-18,601919.SH,12.94,12.97,12.73,12.77,69047122,1016886631
2025-02-19,601919.SH,12.78,12.82,12.65,12.68,69530350,1012449168
2025-02-20,601919.SH,12.66,12.66,12.46,12.53,68214277,979846095
2025-02-21,601919.SH,12.56,12.60,12.47,12.53,64683041,928674847
