code,name,ytd,r20,r60,r250,range_pos,drawdown_from_high,pe,pb,rev_q1_26,gm_q1_26,gm_delta,np_2025
801010.SI,农林牧渔,-18.9,3.0,-12.6,-15.0,22.5,-30.4,39.6,2.18,3.31,8.39,-3.61,-38.36
801030.SI,基础化工,0.4,0.6,-10.5,15.8,67.3,-16.1,29.31,2.22,9.03,17.17,0.27,4.34
801040.SI,钢铁,-16.8,5.0,-15.2,-10.4,37.3,-29.6,29.43,0.99,-5.1,5.72,-0.88,262.89
801050.SI,有色金属,3.6,10.8,-8.0,55.0,68.1,-22.1,21.68,3.23,31.7,16.42,4.47,38.2
801080.SI,电子,37.0,-17.2,-1.4,82.9,66.1,-26.5,79.55,6.64,28.69,17.01,1.5,32.78
801110.SI,家用电器,-6.9,1.5,-7.1,0.1,69.2,-10.0,14.88,2.23,-0.17,23.52,-0.07,-6.74
801120.SI,食品饮料,-12.9,6.9,-6.8,-16.6,9.8,-43.6,20.25,3.21,3.49,53.77,-0.64,-17.77
801130.SI,纺织服饰,-10.0,0.8,-12.1,-5.6,54.4,-16.5,24.31,1.7,6.1,25.59,-0.13,20.77
801140.SI,轻工制造,-15.3,0.0,-18.2,-5.9,48.2,-21.9,31.0,1.75,4.5,19.7,-0.56,-26.22
801150.SI,医药生物,-0.3,6.2,1.3,-7.4,53.6,-17.6,32.93,2.55,1.72,31.75,0.54,-0.99
801160.SI,公用事业,2.8,2.1,-10.2,4.2,51.5,-14.1,21.21,1.58,-3.8,22.09,0.39,5.18
801170.SI,交通运输,-9.2,4.6,-7.1,-8.3,35.9,-15.6,16.89,1.2,5.08,10.25,0.99,-16.39
801180.SI,房地产,-15.0,-1.3,-15.7,-14.0,15.8,-40.7,19.72,0.78,-23.3,14.31,-0.12,-25.5
801200.SI,商贸零售,-25.6,4.5,-14.1,-20.5,24.1,-38.5,34.6,1.65,4.87,14.78,-1.08,-186.01
801210.SI,社会服务,-17.2,2.8,-12.9,-16.6,23.7,-35.9,39.34,2.5,6.18,20.27,-0.01,-2.63
801230.SI,综合,6.6,-5.5,-17.0,33.9,66.6,-22.8,90.95,2.7,-20.28,19.68,7.39,-79.99
801710.SI,建筑材料,15.1,-8.3,-8.4,23.3,59.1,-23.5,36.34,1.51,-2.45,18.37,1.06,-36.1
801720.SI,建筑装饰,-8.4,-2.2,-15.4,-5.7,44.8,-22.6,13.25,0.69,-6.18,9.05,-0.13,-23.79
801730.SI,电力设备,-5.7,-0.2,-19.8,25.4,60.4,-22.1,32.53,2.95,21.8,17.67,1.53,43.33
801740.SI,国防军工,-15.4,-9.2,-18.9,-2.7,49.1,-29.5,59.94,3.21,20.48,20.57,0.59,28.27
801750.SI,计算机,-10.9,0.2,-11.8,-7.5,54.9,-24.5,71.07,3.91,4.31,22.69,0.5,54.48
801760.SI,传媒,-14.1,3.3,-11.0,-5.7,43.8,-31.1,36.69,2.64,2.87,33.48,0.15,45.6
801770.SI,通信,29.7,-14.7,-15.0,102.4,64.7,-28.7,56.89,6.02,5.77,26.21,-0.8,6.78
801780.SI,银行,-5.7,3.7,-0.1,-10.0,60.3,-15.6,6.03,0.5,7.59,,,1.41
801790.SI,非银金融,-14.2,0.8,-1.9,-12.7,53.2,-19.8,11.44,1.13,-2.91,38.68,12.54,27.72
801880.SI,汽车,-18.1,-1.8,-17.5,-9.7,53.6,-22.4,25.09,2.15,2.23,16.37,0.84,3.12
801890.SI,机械设备,4.8,-8.7,-10.9,26.9,74.1,-15.3,42.89,3.19,7.61,23.56,0.76,12.84
801950.SI,煤炭,17.3,8.8,2.3,21.3,71.7,-9.5,21.03,1.49,-0.7,26.55,-0.11,-26.54
801960.SI,石油石化,2.0,10.4,-9.0,14.4,41.2,-25.7,19.7,1.36,-2.86,22.19,3.0,-11.73
801970.SI,环保,-1.9,-0.8,-14.9,1.4,63.4,-16.6,25.76,1.57,10.51,27.97,1.02,-4.13
801980.SI,美容护理,-19.4,5.8,-10.5,-27.5,7.6,-53.6,30.5,2.45,5.11,52.83,2.41,-1.86
