code,name,last,date,ytd,r20,r60,r120,r250,drawdown_from_high,up_from_low,range_pos,hi_date,lo_date
801010.SI,农林牧渔,2417.75,2026-08-07,-18.9,3.0,-12.6,-17.4,-15.0,-30.4,14.6,22.5,2023-02-02,2024-09-18
801030.SI,基础化工,4391.41,2026-08-07,0.4,0.6,-10.5,-7.1,15.8,-16.1,65.4,67.3,2026-03-02,2024-02-05
801040.SI,钢铁,2212.76,2026-08-07,-16.8,5.0,-15.2,-19.9,-10.4,-29.6,33.4,37.3,2026-03-02,2024-09-18
801050.SI,有色金属,8711.72,2026-08-07,3.6,10.8,-8.0,-7.3,55.0,-22.1,153.4,68.1,2026-01-29,2024-02-05
801080.SI,电子,8976.39,2026-08-07,37.0,-17.2,-1.4,30.0,82.9,-26.5,237.6,66.1,2026-06-30,2024-02-05
801110.SI,家用电器,8580.57,2026-08-07,-6.9,1.5,-7.1,-7.7,0.1,-10.0,33.3,69.2,2026-01-20,2023-12-20
801120.SI,食品饮料,14131.94,2026-08-07,-12.9,6.9,-6.8,-18.1,-16.6,-43.6,9.2,9.8,2023-02-20,2026-06-26
801130.SI,纺织服饰,1523.28,2026-08-07,-10.0,0.8,-12.1,-15.4,-5.6,-16.5,31.0,54.4,2026-02-09,2024-09-18
801140.SI,轻工制造,2062.78,2026-08-07,-15.3,0.0,-18.2,-19.6,-5.9,-21.9,35.1,48.2,2026-02-25,2024-09-18
801150.SI,医药生物,8058.75,2026-08-07,-0.3,6.2,1.3,-3.5,-7.4,-17.6,32.7,53.6,2023-01-20,2024-09-23
801160.SI,公用事业,2488.92,2026-08-07,2.8,2.1,-10.2,-0.2,4.2,-14.1,21.0,51.5,2026-06-01,2024-02-05
801170.SI,交通运输,2071.34,2026-08-07,-9.2,4.6,-7.1,-11.2,-8.3,-15.6,11.5,35.9,2023-02-14,2024-02-05
801180.SI,房地产,1867.55,2026-08-07,-15.0,-1.3,-15.7,-19.4,-14.0,-40.7,14.7,15.8,2023-01-05,2024-08-28
801200.SI,商贸零售,1801.74,2026-08-07,-25.6,4.5,-14.1,-26.6,-20.5,-38.5,24.9,24.1,2023-01-16,2024-09-18
801210.SI,社会服务,7252.64,2026-08-07,-17.2,2.8,-12.9,-23.0,-16.6,-35.9,21.2,23.7,2023-03-06,2024-09-18
801230.SI,综合,4180.64,2026-08-07,6.6,-5.5,-17.0,-5.2,33.9,-22.8,142.1,66.6,2026-05-07,2024-07-24
801710.SI,建筑材料,6172.17,2026-08-07,15.1,-8.3,-8.4,-0.0,23.3,-23.5,79.6,59.1,2026-06-26,2024-09-13
801720.SI,建筑装饰,1947.25,2026-08-07,-8.4,-2.2,-15.4,-13.1,-5.7,-22.6,31.0,44.8,2023-05-08,2024-09-18
801730.SI,电力设备,9511.92,2026-08-07,-5.7,-0.2,-19.8,-10.2,25.4,-22.1,76.6,60.4,2026-05-13,2024-02-05
801740.SI,国防军工,1675.99,2026-08-07,-15.4,-9.2,-18.9,-20.2,-2.7,-29.5,67.7,49.1,2026-01-12,2024-02-05
801750.SI,计算机,4642.63,2026-08-07,-10.9,0.2,-11.8,-14.5,-7.5,-24.5,65.5,54.9,2026-01-14,2024-08-27
801760.SI,传媒,704.49,2026-08-07,-14.1,3.3,-11.0,-25.3,-5.7,-31.1,54.2,43.8,2026-01-14,2024-07-24
801770.SI,通信,7134.35,2026-08-07,29.7,-14.7,-15.0,28.8,102.4,-28.7,282.0,64.7,2026-06-25,2024-02-05
801780.SI,银行,3942.8,2026-08-07,-5.7,3.7,-0.1,-1.3,-10.0,-15.6,38.9,60.3,2025-07-10,2023-12-20
801790.SI,非银金融,1762.08,2026-08-07,-14.2,0.8,-1.9,-13.8,-12.7,-19.8,39.1,53.2,2026-01-06,2024-07-08
801880.SI,汽车,6535.4,2026-08-07,-18.1,-1.8,-17.5,-18.6,-9.7,-22.4,50.2,53.6,2026-01-23,2024-02-05
801890.SI,机械设备,2254.58,2026-08-07,4.8,-8.7,-10.9,-1.8,26.9,-15.3,106.8,74.1,2026-06-18,2024-02-05
801950.SI,煤炭,3227.17,2026-08-07,17.3,8.8,2.3,9.1,21.3,-9.5,36.4,71.7,2026-06-04,2023-08-21
801960.SI,石油石化,2639.76,2026-08-07,2.0,10.4,-9.0,-8.0,14.4,-25.7,32.0,41.2,2026-03-03,2025-04-07
801970.SI,环保,1920.36,2026-08-07,-1.9,-0.8,-14.9,-7.2,1.4,-16.6,52.6,63.4,2026-05-13,2024-02-05
801980.SI,美容护理,3528.48,2026-08-07,-19.4,5.8,-10.5,-23.5,-27.5,-53.6,10.5,7.6,2023-02-20,2026-06-26
