code,pe,pb
801010.SI,39.6,2.18
801030.SI,29.31,2.22
801040.SI,29.43,0.99
801050.SI,21.68,3.23
801080.SI,79.55,6.64
801110.SI,14.88,2.23
801120.SI,20.25,3.21
801130.SI,24.31,1.7
801140.SI,31.0,1.75
801150.SI,32.93,2.55
801160.SI,21.21,1.58
801170.SI,16.89,1.2
801180.SI,19.72,0.78
801200.SI,34.6,1.65
801210.SI,39.34,2.5
801230.SI,90.95,2.7
801710.SI,36.34,1.51
801720.SI,13.25,0.69
801730.SI,32.53,2.95
801740.SI,59.94,3.21
801750.SI,71.07,3.91
801760.SI,36.69,2.64
801770.SI,56.89,6.02
801780.SI,6.03,0.5
801790.SI,11.44,1.13
801880.SI,25.09,2.15
801890.SI,42.89,3.19
801950.SI,21.03,1.49
801960.SI,19.7,1.36
801970.SI,25.76,1.57
801980.SI,30.5,2.45
