Wind代码,证券简称,2026年一季度销售毛利率
801760.SI,传媒(申万),33.4766
801710.SI,建筑材料(申万),18.3657
801080.SI,电子(申万),17.0141
801200.SI,商贸零售(申万),14.7821
801110.SI,家用电器(申万),23.5191
801890.SI,机械设备(申万),23.5626
801970.SI,环保(申万),27.9719
801040.SI,钢铁(申万),5.7172
801170.SI,交通运输(申万),10.2466
801150.SI,医药生物(申万),31.7477
801210.SI,社会服务(申万),20.2656
801770.SI,通信(申万),26.2135
801120.SI,食品饮料(申万),53.7701
801720.SI,建筑装饰(申万),9.0502
801160.SI,公用事业(申万),22.0882
801980.SI,美容护理(申万),52.833
801030.SI,基础化工(申万),17.1723
801140.SI,轻工制造(申万),19.7041
801740.SI,国防军工(申万),20.568
801730.SI,电力设备(申万),17.6718
801130.SI,纺织服饰(申万),25.59
801950.SI,煤炭(申万),26.5469
801880.SI,汽车(申万),16.369
801750.SI,计算机(申万),22.6869
801230.SI,综合(申万),19.6763
801790.SI,非银金融(申万),38.6842
801010.SI,农林牧渔(申万),8.3908
801050.SI,有色金属(申万),16.416
801180.SI,房地产(申万),14.3066
801960.SI,石油石化(申万),22.1942
