Wind代码,证券简称,2025年一季度销售毛利率
801760.SI,传媒(申万),33.3287
801710.SI,建筑材料(申万),17.3048
801080.SI,电子(申万),15.5094
801200.SI,商贸零售(申万),15.8655
801110.SI,家用电器(申万),23.5912
801890.SI,机械设备(申万),22.7985
801970.SI,环保(申万),26.9516
801040.SI,钢铁(申万),6.5968
801170.SI,交通运输(申万),9.2543
801150.SI,医药生物(申万),31.2115
801210.SI,社会服务(申万),20.2775
801770.SI,通信(申万),27.0124
801120.SI,食品饮料(申万),54.406
801720.SI,建筑装饰(申万),9.1814
801160.SI,公用事业(申万),21.6967
801980.SI,美容护理(申万),50.418
801030.SI,基础化工(申万),16.9064
801140.SI,轻工制造(申万),20.2633
801740.SI,国防军工(申万),19.9826
801730.SI,电力设备(申万),16.1437
801130.SI,纺织服饰(申万),25.721
801950.SI,煤炭(申万),26.6549
801880.SI,汽车(申万),15.5246
801750.SI,计算机(申万),22.1907
801230.SI,综合(申万),12.2822
801790.SI,非银金融(申万),26.1448
801010.SI,农林牧渔(申万),12.0049
801050.SI,有色金属(申万),11.9417
801180.SI,房地产(申万),14.4269
801960.SI,石油石化(申万),19.1935
