Wind代码,证券简称,2025年年度净利润同比增长率
801760.SI,传媒(申万),45.5988
801710.SI,建筑材料(申万),-36.0997
801080.SI,电子(申万),32.7849
801200.SI,商贸零售(申万),-186.0123
801110.SI,家用电器(申万),-6.7445
801890.SI,机械设备(申万),12.8414
801970.SI,环保(申万),-4.1316
801040.SI,钢铁(申万),262.8885
801170.SI,交通运输(申万),-16.3888
801150.SI,医药生物(申万),-0.9916
801210.SI,社会服务(申万),-2.6327
801770.SI,通信(申万),6.7839
801120.SI,食品饮料(申万),-17.7669
801720.SI,建筑装饰(申万),-23.7896
801160.SI,公用事业(申万),5.1806
801980.SI,美容护理(申万),-1.8636
801030.SI,基础化工(申万),4.3365
801140.SI,轻工制造(申万),-26.2223
801740.SI,国防军工(申万),28.2718
801780.SI,银行(申万),1.4147
801730.SI,电力设备(申万),43.3303
801130.SI,纺织服饰(申万),20.7658
801950.SI,煤炭(申万),-26.5396
801880.SI,汽车(申万),3.1156
801750.SI,计算机(申万),54.4812
801230.SI,综合(申万),-79.9935
801790.SI,非银金融(申万),27.7186
801010.SI,农林牧渔(申万),-38.3615
801050.SI,有色金属(申万),38.2018
801180.SI,房地产(申万),-25.5013
801960.SI,石油石化(申万),-11.7312
