Wind代码,证券简称,2026年一季度营业收入同比增长率
801760.SI,传媒(申万),2.868
801710.SI,建筑材料(申万),-2.4545
801080.SI,电子(申万),28.6948
801200.SI,商贸零售(申万),4.867
801110.SI,家用电器(申万),-0.1713
801890.SI,机械设备(申万),7.6112
801970.SI,环保(申万),10.5135
801040.SI,钢铁(申万),-5.0951
801170.SI,交通运输(申万),5.0795
801150.SI,医药生物(申万),1.7166
801210.SI,社会服务(申万),6.183
801770.SI,通信(申万),5.7731
801120.SI,食品饮料(申万),3.493
801720.SI,建筑装饰(申万),-6.1759
801160.SI,公用事业(申万),-3.7968
801980.SI,美容护理(申万),5.1064
801030.SI,基础化工(申万),9.0269
801140.SI,轻工制造(申万),4.5012
801740.SI,国防军工(申万),20.4836
801780.SI,银行(申万),7.5876
801730.SI,电力设备(申万),21.7965
801130.SI,纺织服饰(申万),6.0996
801950.SI,煤炭(申万),-0.7004
801880.SI,汽车(申万),2.2329
801750.SI,计算机(申万),4.3136
801230.SI,综合(申万),-20.2794
801790.SI,非银金融(申万),-2.9136
801010.SI,农林牧渔(申万),3.3121
801050.SI,有色金属(申万),31.7042
801180.SI,房地产(申万),-23.299
801960.SI,石油石化(申万),-2.8586
