trade_date,wind_code,open,high,low,close,volume,amt
2025-01-02,01801.HK,37.1,37.75,35.35,35.5,6499600.0,
2025-01-03,01801.HK,36.1,36.65,35.2,35.45,5093300.0,
2025-01-06,01801.HK,35.7,36.35,35.0,35.3,5078900.0,
2025-01-07,01801.HK,35.25,35.6,34.7,35.15,5526300.0,
2025-01-08,01801.HK,35.2,35.3,33.55,33.95,10872800.0,
2025-01-09,01801.HK,33.6,34.5,32.85,33.1,9748900.0,
2025-01-10,01801.HK,33.1,33.6,32.75,33.55,9207500.0,
2025-01-13,01801.HK,33.3,34.3,33.0,33.85,8761500.0,
2025-01-14,01801.HK,34.1,34.95,33.9,34.65,4703200.0,
2025-01-15,01801.HK,34.45,34.8,33.35,33.45,5830000.0,
2025-01-16,01801.HK,33.75,34.35,28.65,30.0,43198100.00000001,
2025-01-17,01801.HK,30.5,32.0,30.1,31.45,19573300.0,
2025-01-20,01801.HK,31.35,32.6,30.9,31.05,16679800.0,
2025-01-21,01801.HK,31.25,31.65,30.85,31.3,8560600.0,
2025-01-22,01801.HK,31.3,32.25,30.75,31.9,14249400.0,
2025-01-23,01801.HK,32.05,32.5,31.4,31.65,7738800.0,
2025-01-24,01801.HK,31.95,33.0,31.5,32.35,8377800.0,
2025-01-27,01801.HK,32.45,33.4,32.15,33.0,4905100.0,
2025-01-28,01801.HK,33.0,33.15,32.55,33.05,1259000.0,
2025-02-03,01801.HK,32.75,33.05,31.3,32.75,3846200.0,
2025-02-04,01801.HK,31.6,33.55,31.6,33.15,1778400.0,
2025-02-05,01801.HK,33.15,33.35,32.15,33.05,6546500.0,
2025-02-06,01801.HK,33.05,36.0,32.7,35.8,15947100.0,
2025-02-07,01801.HK,36.0,37.2,35.55,36.25,11951900.0,
2025-02-10,01801.HK,36.45,37.45,36.25,36.35,9516700.0,
2025-02-11,01801.HK,36.45,36.85,35.65,35.9,7660200.0,
2025-02-12,01801.HK,36.4,36.4,34.65,35.5,12744500.0,
2025-02-13,01801.HK,36.0,36.8,35.5,35.85,11985100.0,
