trade_date,wind_code,open,high,low,close,volume,amt
2025-01-02,300394.SZ,91.0,92.5,88.8,89.75,40500.0,
2025-01-03,300394.SZ,90.0,90.7,87.0,87.1,41200.0,
2025-01-06,300394.SZ,87.5,90.38,87.3,88.67,35400.0,
2025-01-07,300394.SZ,89.8,95.49,88.38,95.07,80200.0,
2025-01-08,300394.SZ,92.1,94.65,90.2,94.05,46800.0,
2025-01-09,300394.SZ,93.8,94.57,92.51,93.09,21900.0,
2025-01-10,300394.SZ,92.6,93.0,88.5,88.5,48300.0,
2025-01-13,300394.SZ,87.36,89.26,85.53,86.69,42100.0,
2025-01-14,300394.SZ,86.58,90.09,83.93,89.98,71100.0,
2025-01-15,300394.SZ,89.01,89.59,86.01,86.02,39800.0,
2025-01-16,300394.SZ,86.99,103.22,86.51,103.22,194300.0,
2025-01-17,300394.SZ,106.01,111.54,105.0,108.6,63400.0,
2025-01-20,300394.SZ,110.33,114.68,106.45,113.47,75800.0,
2025-01-21,300394.SZ,115.74,115.8,110.08,112.75,50400.0,
2025-01-22,300394.SZ,115.57,120.0,114.8,116.0,46100.0,
2025-01-23,300394.SZ,116.58,119.69,111.5,112.92,70600.0,
2025-01-24,300394.SZ,113.02,116.3,111.8,114.02,39900.0,
2025-01-27,300394.SZ,106.0,107.49,99.76,100.8,67800.0,
2025-02-05,300394.SZ,92.0,93.3,82.58,83.79,106300.00000000001,
2025-02-06,300394.SZ,85.0,86.68,83.51,85.99,37800.0,
2025-02-07,300394.SZ,86.66,92.28,86.65,90.29,65500.0,
2025-02-10,300394.SZ,90.85,93.2,90.3,91.73,32100.0,
2025-02-11,300394.SZ,92.7,94.99,91.2,93.57,41300.0,
2025-02-12,300394.SZ,92.8,94.28,91.6,93.88,28600.0,
2025-02-13,300394.SZ,93.07,94.86,90.58,90.83,45599.99999999999,
2025-02-14,300394.SZ,91.96,95.5,89.01,89.9,71500.0,
2025-02-17,300394.SZ,90.0,100.39,90.0,98.26,115600.0,
2025-02-18,300394.SZ,97.0,100.56,95.79,97.2,48500.0,
2025-02-19,300394.SZ,96.93,97.65,94.18,96.54,35700.0,
2025-02-20,300394.SZ,97.99,101.93,96.0,100.3,61400.0,
2025-02-21,300394.SZ,100.85,110.0,98.6,104.08,113699.99999999999,
2025-02-24,300394.SZ,102.1,103.0,98.53,101.12,42900.0,
2025-02-25,300394.SZ,97.16,102.35,96.96,100.17,53300.0,
2025-02-26,300394.SZ,99.6,104.98,98.19,104.42,67800.0,
2025-02-27,300394.SZ,105.0,106.93,99.0,100.19,75900.0,
2025-02-28,300394.SZ,94.99,94.99,88.0,88.47,69800.0,
2025-03-03,300394.SZ,88.8,90.8,86.03,87.43,53900.0,
2025-03-04,300394.SZ,82.31,87.36,81.62,87.2,65700.0,
2025-03-05,300394.SZ,87.3,90.5,87.3,89.99,36700.0,
2025-03-06,300394.SZ,90.19,92.9,88.28,91.11,51300.0,
2025-03-07,300394.SZ,89.5,89.5,88.0,88.39,16500.0,
2025-03-10,300394.SZ,88.89,90.5,88.42,89.96,23500.0,
2025-03-11,300394.SZ,87.32,89.57,87.02,89.56,28300.0,
2025-03-12,300394.SZ,91.0,92.9,89.6,91.1,36800.0,
2025-03-13,300394.SZ,93.49,94.3,90.67,90.9,39800.0,
2025-03-14,300394.SZ,90.87,96.35,90.22,95.13,67400.0,
2025-03-17,300394.SZ,95.25,98.03,93.89,96.56,43500.0,
2025-03-18,300394.SZ,95.8,99.52,93.6,97.87,61300.0,
2025-03-19,300394.SZ,94.62,95.09,90.32,90.69,48700.0,
2025-03-20,300394.SZ,90.69,92.66,90.0,90.0,29300.0,
2025-03-21,300394.SZ,89.3,89.95,87.3,87.72,29400.0,
2025-03-24,300394.SZ,87.8,89.8,87.0,88.84,31900.0,
2025-03-25,300394.SZ,89.5,91.58,88.78,89.01,31500.0,
2025-03-26,300394.SZ,88.96,89.01,86.86,87.2,24200.0,
2025-03-27,300394.SZ,84.9,86.05,82.93,84.7,35800.0,
2025-03-28,300394.SZ,84.22,85.75,83.66,83.66,24700.000000000004,
2025-03-31,300394.SZ,83.3,84.8,83.01,84.62,21400.0,
2025-04-01,300394.SZ,84.7,84.84,83.88,84.2,11299.999999999998,
2025-04-02,300394.SZ,84.64,86.31,84.35,85.25,23300.0,
2025-04-03,300394.SZ,83.0,83.5,77.51,79.45,70300.0,
2025-04-07,300394.SZ,69.98,71.4,63.56,63.56,98699.99999999999,
2025-04-08,300394.SZ,63.93,65.3,59.96,62.23,84000.0,
2025-04-09,300394.SZ,60.0,63.36,57.11,62.73,100399.99999999999,
2025-04-10,300394.SZ,69.5,70.01,66.56,66.56,55000.0,
2025-04-11,300394.SZ,66.56,68.23,65.18,67.07,45800.0,
2025-04-14,300394.SZ,71.0,71.2,67.93,68.1,48800.0,
2025-04-15,300394.SZ,67.6,67.89,66.26,67.18,23900.0,
2025-04-16,300394.SZ,65.77,66.23,64.16,65.86,30800.0,
2025-04-17,300394.SZ,65.0,66.68,65.0,65.7,25500.0,
2025-04-18,300394.SZ,65.9,66.81,65.68,66.38,17200.0,
2025-04-21,300394.SZ,67.99,68.5,66.85,68.5,24900.000000000004,
2025-04-22,300394.SZ,67.38,68.08,67.1,67.5,14300.0,
2025-04-23,300394.SZ,68.88,73.78,68.2,72.5,82700.0,
2025-04-24,300394.SZ,69.98,71.08,69.26,69.45,25099.999999999996,
2025-04-25,300394.SZ,69.78,72.19,69.78,70.24,34700.0,
2025-04-28,300394.SZ,69.8,70.0,67.81,68.27,31200.0,
2025-04-29,300394.SZ,67.67,68.5,67.27,67.68,18000.0,
2025-04-30,300394.SZ,67.85,68.72,67.3,68.57,21000.0,
2025-05-06,300394.SZ,69.75,71.88,69.7,71.69,31800.0,
2025-05-07,300394.SZ,73.11,73.5,70.41,71.24,43099.99999999999,
2025-05-08,300394.SZ,71.6,77.57,71.55,76.42,84500.0,
2025-05-09,300394.SZ,75.0,75.5,73.5,74.12,26200.0,
2025-05-12,300394.SZ,76.2,76.6,74.48,76.38,28600.0,
2025-05-13,300394.SZ,78.0,78.76,75.58,75.67,41600.0,
2025-05-14,300394.SZ,76.86,78.49,76.1,76.33,31600.0,
2025-05-15,300394.SZ,76.05,76.4,73.27,73.27,41000.0,
2025-05-16,300394.SZ,72.89,75.14,72.6,74.29,34700.0,
2025-05-19,300394.SZ,73.46,73.46,71.75,72.45,23000.0,
2025-05-20,300394.SZ,72.45,76.88,72.13,75.3,65600.0,
2025-05-21,300394.SZ,74.61,80.19,74.61,78.18,74100.0,
2025-05-22,300394.SZ,77.5,78.95,76.36,76.45,33100.0,
2025-05-23,300394.SZ,77.0,77.21,74.0,74.07,42000.0,
2025-05-26,300394.SZ,73.95,74.79,73.15,74.78,22100.0,
2025-05-27,300394.SZ,74.2,75.37,72.03,74.01,44700.0,
2025-05-28,300394.SZ,74.9,77.74,74.49,77.63,43900.0,
2025-05-29,300394.SZ,78.6,82.8,78.47,82.16,55800.0,
2025-05-30,300394.SZ,81.0,82.24,80.18,81.7,25099.999999999996,
2025-06-03,300394.SZ,81.0,83.4,80.35,81.77,37300.0,
2025-06-04,300394.SZ,83.6,86.0,83.5,85.17,30600.0,
2025-06-05,300394.SZ,84.5,89.89,84.29,87.85,65800.0,
2025-06-06,300394.SZ,87.4,92.57,87.11,90.52,62200.0,
2025-06-09,300394.SZ,66.58,73.49,66.19,70.2,113500.0,
2025-06-10,300394.SZ,69.0,69.59,67.68,68.73,27200.000000000004,
2025-06-11,300394.SZ,68.8,71.2,67.67,67.96,51400.0,
2025-06-12,300394.SZ,67.89,77.82,67.06,74.79,158300.0,
2025-06-13,300394.SZ,74.4,75.76,73.33,73.47,32500.0,
2025-06-16,300394.SZ,72.84,76.99,72.84,75.4,56500.0,
2025-06-17,300394.SZ,75.6,75.96,72.9,73.8,40599.99999999999,
2025-06-18,300394.SZ,73.86,77.18,71.58,76.59,75900.0,
2025-06-19,300394.SZ,75.62,78.7,75.28,76.1,44700.0,
2025-06-20,300394.SZ,76.1,76.49,73.2,74.38,43200.0,
2025-06-23,300394.SZ,73.19,74.65,69.8,71.3,65199.99999999999,
2025-06-24,300394.SZ,71.99,73.17,71.07,71.6,29500.0,
2025-06-25,300394.SZ,73.48,73.66,70.5,72.3,44100.0,
2025-06-26,300394.SZ,73.33,74.68,72.61,73.21,28600.0,
