trade_date,wind_code,open,high,low,close,volume,amt
2025-01-02,688008.SH,67.27,67.82,64.76,65.38,35759060,2383660096
2025-01-03,688008.SH,65.68,66.72,64.54,64.98,29537725,1955964029
2025-01-06,688008.SH,64.77,65.40,62.97,63.38,21763663,1405460486
2025-01-07,688008.SH,63.57,65.99,63.27,65.86,29468257,1916970838
2025-01-08,688008.SH,65.12,67.34,63.65,66.26,31105650,2054491735
2025-01-09,688008.SH,65.66,67.93,65.53,65.75,26952173,1815372589
2025-01-10,688008.SH,65.45,66.81,63.55,63.67,29383452,1934535925
2025-01-13,688008.SH,62.19,63.04,61.29,62.39,24282809,1523336140
2025-01-14,688008.SH,62.77,66.09,62.29,65.88,30470467,1989557938
2025-01-15,688008.SH,65.70,66.39,65.04,65.65,20823313,1380787103
2025-01-16,688008.SH,66.34,67.11,64.40,65.46,25216372,1670821352
2025-01-17,688008.SH,65.04,67.19,64.87,66.12,23184106,1545475782
2025-01-20,688008.SH,66.59,67.46,66.23,66.72,20398984,1375113640
2025-01-21,688008.SH,67.45,69.75,66.73,69.50,38976979,2690266537
2025-01-22,688008.SH,69.37,71.58,68.92,70.73,36385585,2591943536
2025-01-23,688008.SH,72.39,72.39,69.27,69.52,43539257,3110791541
2025-01-24,688008.SH,69.42,70.64,69.19,70.25,27222165,1918132336
2025-01-27,688008.SH,70.41,70.50,67.44,67.47,25909545,1793009599
2025-02-05,688008.SH,69.35,69.88,67.64,68.82,33350977,2310643853
2025-02-06,688008.SH,68.43,71.73,68.11,70.74,42461421,3009266617
2025-02-07,688008.SH,70.42,73.46,69.88,71.75,53143232,3843797329
2025-02-10,688008.SH,72.35,73.43,71.80,72.01,38811705,2833975027
2025-02-11,688008.SH,71.60,71.91,70.07,71.18,30507498,2179454872
2025-02-12,688008.SH,71.38,72.14,70.17,71.83,41303156,2969863360
2025-02-13,688008.SH,71.90,72.06,69.33,69.42,35241910,2491661845
2025-02-14,688008.SH,69.12,73.38,69.08,72.70,55955905,4054433689
2025-02-17,688008.SH,74.33,75.37,72.75,74.17,48288451,3592198524
2025-02-18,688008.SH,73.38,74.76,71.00,71.30,36578605,2691797369
2025-02-19,688008.SH,71.90,73.85,71.49,72.73,40332013,2960142979
2025-02-20,688008.SH,72.58,72.80,71.10,71.84,33234395,2410022127
2025-02-21,688008.SH,72.39,77.81,72.39,76.37,70829587,5359593784
2025-02-24,688008.SH,77.05,78.98,75.83,77.02,55501680,4326030747
2025-02-25,688008.SH,76.66,82.31,76.22,79.18,77119755,6173145324
2025-02-26,688008.SH,80.18,82.78,78.74,80.98,63659916,5206495817
2025-02-27,688008.SH,81.15,85.26,80.29,82.98,71487612,5958132789
2025-02-28,688008.SH,82.21,82.39,76.64,77.08,71146311,5643085999
2025-03-03,688008.SH,77.92,78.31,74.92,75.62,42781835,3283002884
2025-03-04,688008.SH,74.41,79.82,74.28,79.07,49305401,3852337300
2025-03-05,688008.SH,78.34,79.02,76.34,77.70,33867532,2651059062
2025-03-06,688008.SH,78.84,80.78,78.34,79.97,44074161,3529069788
2025-03-07,688008.SH,79.33,80.66,77.69,78.96,34671704,2766630666
2025-03-10,688008.SH,78.96,81.02,78.74,80.03,30449721,2455117091
2025-03-11,688008.SH,78.42,79.14,76.99,78.30,34057837,2679321547
2025-03-12,688008.SH,78.34,79.59,77.51,77.51,26616903,2107203887
2025-03-13,688008.SH,77.51,77.82,73.98,74.64,36212900,2751195344
2025-03-14,688008.SH,74.61,76.86,74.37,76.64,28848963,2202833079
2025-03-17,688008.SH,76.67,76.91,75.17,75.51,21527906,1645132292
2025-03-18,688008.SH,76.10,79.27,76.05,77.89,32328808,2543628131
2025-03-19,688008.SH,77.43,78.34,76.68,77.16,19336945,1507470977
2025-03-20,688008.SH,77.30,77.95,75.42,75.51,22056059,1704393345
2025-03-21,688008.SH,74.87,75.81,73.11,73.40,25037904,1872391227
2025-03-24,688008.SH,73.48,73.95,72.07,73.64,21674113,1599134080
