trade_date,wind_code,open,high,low,close,volume,amt
2023-01-03,801730.SI,9330.67,9492.49,9201.71,9474.10,2877930000,67444980000
2023-01-04,801730.SI,9446.74,9446.89,9248.25,9297.21,2667220000,65531180000
2023-01-05,801730.SI,9324.17,9580.83,9299.51,9555.61,3036870000,80198340000
2023-01-06,801730.SI,9562.32,9934.07,9562.32,9810.71,4084610000,104779390000
2023-01-09,801730.SI,9882.79,9992.85,9830.87,9863.31,3625100000,91380070000
2023-01-10,801730.SI,9904.36,9996.92,9815.45,9957.21,3219790000,80958980000
2023-01-11,801730.SI,9942.97,10001.76,9836.45,9843.36,3030410000,72455830000
2023-01-12,801730.SI,9891.33,10034.69,9891.23,9946.86,2934520000,71550130000
2023-01-13,801730.SI,10046.51,10059.69,9825.17,9937.27,3033320000,77511020000
2023-01-16,801730.SI,9919.66,10084.94,9889.24,10020.98,3344540000,81725010000
2023-01-17,801730.SI,10044.51,10134.90,10018.46,10064.94,2880440000,63604160000
2023-01-18,801730.SI,10106.62,10150.47,10043.72,10102.61,2688120000,58761480000
2023-01-19,801730.SI,10070.99,10079.77,10012.81,10063.27,2574710000,56617720000
2023-01-20,801730.SI,10101.73,10234.98,10097.97,10234.98,3171580000,76039960000
2023-01-30,801730.SI,10524.84,10593.25,10419.65,10427.98,4495670000,109068680000
2023-01-31,801730.SI,10402.26,10535.13,10402.26,10453.33,3822650000,84536280000
2023-02-01,801730.SI,10499.76,10570.51,10420.07,10556.22,4423220000,96218170000
2023-02-02,801730.SI,10563.74,10578.73,10428.85,10452.23,3897020000,84849220000
2023-02-03,801730.SI,10421.46,10423.26,10156.96,10277.27,3629800000,79748580000
2023-02-06,801730.SI,10238.77,10252.37,10126.40,10212.57,3633400000,71511250000
2023-02-07,801730.SI,10227.16,10262.09,10134.83,10199.55,3587280000,73124180000
2023-02-08,801730.SI,10211.19,10295.60,10187.84,10201.42,4305400000,77838880000
2023-02-09,801730.SI,10173.41,10331.43,10132.33,10306.68,4232360000,82202020000
2023-02-10,801730.SI,10288.88,10288.88,10122.89,10158.03,3620180000,73682910000
2023-02-13,801730.SI,10165.61,10278.56,10149.72,10243.78,3741360000,78133840000
2023-02-14,801730.SI,10299.10,10299.11,10167.93,10239.78,4310360000,83779490000
2023-02-15,801730.SI,10248.63,10302.83,10186.13,10204.24,4194700000,83985930000
2023-02-16,801730.SI,10207.36,10237.23,9922.69,9984.91,5156340000,96445060000
2023-02-17,801730.SI,9983.83,9983.83,9743.12,9745.35,3461700000,74891040000
2023-02-20,801730.SI,9710.82,9826.53,9606.58,9826.53,3222640000,74786940000
2023-02-21,801730.SI,9814.78,9934.77,9783.69,9889.94,3448250000,76997870000
2023-02-22,801730.SI,9813.48,9907.93,9806.34,9822.29,3520040000,67088600000
2023-02-23,801730.SI,9826.01,9973.81,9826.01,9933.61,3395070000,74294860000
2023-02-24,801730.SI,9929.76,9929.76,9777.95,9804.62,2713950000,58388820000
2023-02-27,801730.SI,9755.98,9912.33,9722.47,9785.74,3232610000,66751490000
2023-02-28,801730.SI,9798.63,9829.73,9708.87,9824.03,3226380000,61725600000
2023-03-01,801730.SI,9814.06,9815.80,9746.05,9810.30,2975950000,63172570000
2023-03-02,801730.SI,9812.92,9812.96,9622.02,9642.63,3347780000,71884590000
2023-03-03,801730.SI,9650.66,9690.26,9607.50,9644.81,2686150000,51975580000
2023-03-06,801730.SI,9660.46,9824.94,9533.36,9819.88,3455330000,86458480000
2023-03-07,801730.SI,9779.02,9783.98,9669.77,9669.77,3382180000,67680550000
2023-03-08,801730.SI,9637.09,9728.99,9559.54,9611.19,2559600000,56930030000
2023-03-09,801730.SI,9621.57,9645.13,9558.35,9567.31,2695360000,54292250000
2023-03-10,801730.SI,9535.89,9582.91,9436.79,9496.25,2839260000,61453650000
2023-03-13,801730.SI,9467.20,9525.35,9374.83,9409.84,2792040000,61405060000
2023-03-14,801730.SI,9403.39,9403.39,9092.64,9256.22,3305950000,74983320000
2023-03-15,801730.SI,9309.19,9440.02,9264.99,9291.09,2763710000,56120130000
2023-03-16,801730.SI,9215.07,9230.50,8983.25,9000.30,3284010000,70309700000
2023-03-17,801730.SI,9068.51,9087.32,8923.87,8936.01,3078410000,69292680000
2023-03-20,801730.SI,8912.58,9111.25,8848.84,9028.23,3438170000,74398040000
2023-03-21,801730.SI,9038.08,9180.46,8987.32,9180.46,2949400000,64605620000
2023-03-22,801730.SI,9234.22,9336.32,9166.94,9205.54,2912330000,65057050000
2023-03-23,801730.SI,9165.95,9212.62,9127.29,9169.40,2968500000,54326840000
2023-03-24,801730.SI,9175.72,9290.84,9086.53,9220.28,3468590000,67357920000
2023-03-27,801730.SI,9193.56,9330.48,9139.53,9314.73,3755770000,81675350000
2023-03-28,801730.SI,9298.37,9298.37,9196.85,9202.58,2987930000,59890680000
2023-03-29,801730.SI,9231.15,9329.32,9211.03,9232.23,2769490000,59365770000
2023-03-30,801730.SI,9226.45,9287.50,9171.53,9287.50,2746410000,57824630000
2023-03-31,801730.SI,9306.99,9438.93,9298.45,9314.60,2711020000,64505050000
2023-04-03,801730.SI,9314.55,9379.60,9237.54,9323.30,3183010000,69854630000
2023-04-04,801730.SI,9320.99,9320.99,9029.45,9107.58,3693380000,80807820000
2023-04-06,801730.SI,9069.76,9137.36,9006.70,9126.64,2884910000,58975150000
2023-04-07,801730.SI,9114.08,9227.19,9101.37,9153.12,2677390000,52632120000
2023-04-10,801730.SI,9209.21,9324.32,9160.28,9324.32,4069490000,83099870000
2023-04-11,801730.SI,9307.13,9343.48,9235.96,9263.65,3562350000,72421680000
2023-04-12,801730.SI,9247.88,9252.66,9105.31,9132.33,3307430000,61807030000
2023-04-13,801730.SI,9133.41,9166.27,9060.24,9064.84,3221790000,56785600000
