trade_date,wind_code,open,high,low,close,volume,amt
2014-01-02,801080.SI,1716.55,1781.02,1715.45,1777.25,1183290000,14397830000
2014-01-03,801080.SI,1773.33,1803.63,1773.26,1787.51,1348550000,16983660000
2014-01-06,801080.SI,1785.07,1785.15,1746.49,1748.58,1255710000,14398240000
2014-01-07,801080.SI,1741.51,1775.57,1739.95,1775.57,997790000,11602650000
2014-01-08,801080.SI,1777.52,1806.65,1777.32,1803.61,1230650000,15113170000
2014-01-09,801080.SI,1798.18,1807.17,1761.29,1761.29,1229960000,14544510000
2014-01-10,801080.SI,1751.48,1757.51,1710.16,1716.74,987160000,11918840000
2014-01-13,801080.SI,1714.08,1720.76,1696.52,1711.02,830990000,10329680000
2014-01-14,801080.SI,1710.24,1758.66,1707.81,1758.66,988860000,12124060000
2014-01-15,801080.SI,1758.20,1795.56,1758.15,1795.21,1175600000,15703240000
2014-01-16,801080.SI,1796.33,1809.87,1779.06,1783.28,1114610000,14624180000
2014-01-17,801080.SI,1776.43,1781.29,1763.74,1767.53,964000000,13161140000
2014-01-20,801080.SI,1760.45,1777.02,1732.84,1743.01,880060000,11367910000
2014-01-21,801080.SI,1740.05,1778.44,1739.73,1778.44,1001750000,12956790000
2014-01-22,801080.SI,1777.21,1811.62,1776.70,1811.62,1232840000,15664800000
2014-01-23,801080.SI,1810.46,1829.95,1807.68,1823.47,1189600000,15385120000
2014-01-24,801080.SI,1817.89,1854.08,1817.19,1851.85,1283620000,16791370000
2014-01-27,801080.SI,1847.21,1872.45,1840.56,1853.95,1511350000,17086230000
2014-01-28,801080.SI,1850.72,1858.92,1807.84,1820.01,1032230000,12964950000
2014-01-29,801080.SI,1817.39,1833.96,1815.28,1832.40,867060000,11330510000
2014-01-30,801080.SI,1827.58,1830.86,1811.72,1816.27,930240000,11482570000
2014-02-07,801080.SI,1803.29,1882.79,1800.96,1882.79,1240470000,14766380000
2014-02-10,801080.SI,1894.63,1944.53,1894.63,1942.11,1826030000,22485080000
2014-02-11,801080.SI,1945.06,1956.48,1905.54,1936.12,1732440000,21316160000
2014-02-12,801080.SI,1937.71,1970.42,1930.42,1970.42,1660750000,20957470000
2014-02-13,801080.SI,1967.59,1981.50,1935.78,1935.78,1827880000,22240050000
2014-02-14,801080.SI,1931.81,1966.59,1921.36,1966.59,1324600000,16641740000
2014-02-17,801080.SI,1973.13,2007.33,1964.56,2007.33,1779860000,23141080000
2014-02-18,801080.SI,2010.79,2021.06,1993.53,2010.00,1869160000,24708020000
2014-02-19,801080.SI,2009.15,2014.86,1981.21,1992.17,1796850000,20785070000
2014-02-20,801080.SI,1995.77,1998.12,1945.37,1963.06,2041340000,21021520000
2014-02-21,801080.SI,1960.59,1972.43,1932.93,1955.02,1436970000,16401770000
2014-02-24,801080.SI,1951.34,1995.45,1941.99,1995.44,1820790000,18605990000
2014-02-25,801080.SI,1997.78,2005.13,1867.86,1880.02,2314850000,25814730000
2014-02-26,801080.SI,1860.78,1877.01,1820.76,1877.01,1630800000,16589330000
2014-02-27,801080.SI,1880.63,1916.36,1833.05,1834.29,1600470000,17762280000
2014-02-28,801080.SI,1830.52,1860.37,1803.79,1859.90,1294420000,14029590000
2014-03-03,801080.SI,1861.60,1896.59,1857.01,1896.43,1329760000,15049010000
2014-03-04,801080.SI,1889.53,1897.57,1866.52,1891.69,1348000000,15739030000
2014-03-05,801080.SI,1901.58,1909.95,1886.57,1891.42,1152840000,14792470000
2014-03-06,801080.SI,1886.01,1888.93,1860.31,1886.55,1061280000,13422930000
2014-03-07,801080.SI,1886.46,1898.74,1866.19,1875.40,1078590000,13552710000
2014-03-10,801080.SI,1857.26,1857.42,1785.43,1790.97,1188240000,13028030000
2014-03-11,801080.SI,1782.15,1810.81,1774.57,1792.89,927500000,10695360000
2014-03-12,801080.SI,1788.81,1810.18,1759.21,1793.24,908160000,10643180000
2014-03-13,801080.SI,1797.24,1827.23,1796.94,1827.15,838510000,9938560000
2014-03-14,801080.SI,1817.79,1834.51,1810.84,1827.00,845620000,9776980000
2014-03-17,801080.SI,1828.49,1868.99,1826.14,1868.99,932640000,11312690000
2014-03-18,801080.SI,1870.13,1882.55,1864.10,1868.45,958040000,12293960000
