trade_date,wind_code,open,high,low,close,volume,amt
2026-07-20,000300.SH,4575.67,4628.80,4521.18,4598.32,33311605800,933403207700
2026-07-21,000300.SH,4630.85,4739.23,4566.28,4739.23,34540359000,1016727269500
2026-07-22,000300.SH,4710.66,4772.08,4692.83,4717.24,28555635700,921519272200
2026-07-23,000300.SH,4735.17,4737.51,4698.87,4728.00,24733167500,741818580500
2026-07-24,000300.SH,4685.41,4704.08,4642.94,4649.19,22126121200,626378644300
2026-07-27,000300.SH,4656.03,4702.52,4615.53,4702.43,20478694100,604552358100
2026-07-28,000300.SH,4623.80,4646.49,4552.23,4569.52,21570504500,652026893900
2026-07-29,000300.SH,4582.09,4626.71,4516.32,4600.26,24808235700,751545094100
2026-07-30,000300.SH,4566.05,4596.21,4478.21,4549.72,27465113000,803696969700
2026-07-31,000300.SH,4623.85,4635.59,4588.20,4588.20,27924369800,832909109200
2026-08-03,000300.SH,4561.82,4572.59,4529.19,4543.18,23204258400,615750950300
2026-08-04,000300.SH,4566.94,4613.69,4555.25,4600.93,24207361100,698818114400
2026-08-05,000300.SH,4550.19,4679.86,4550.19,4658.15,27692191900,879161152400
2026-08-06,000300.SH,4621.80,4675.65,4611.07,4651.31,24751073000,747784204200
2026-08-07,000300.SH,4656.10,4706.73,4649.58,4694.44,23907202000,788405762400
