trade_date,wind_code,open,high,low,close,volume,amt
2026-07-20,801760.SI,645.46,653.69,633.63,647.05,4919540000,48838030000
2026-07-21,801760.SI,642.45,656.57,633.65,654.71,5251910000,51540520000
2026-07-22,801760.SI,646.64,647.32,634.49,635.63,4209480000,41870040000
2026-07-23,801760.SI,631.69,631.69,619.64,630.98,3563140000,35422100000
2026-07-24,801760.SI,621.27,625.11,608.60,608.60,3300410000,30894380000
2026-07-27,801760.SI,607.35,629.28,607.35,628.86,3494000000,30681920000
2026-07-28,801760.SI,624.48,640.09,624.48,631.17,3694510000,33065630000
2026-07-29,801760.SI,633.34,653.84,630.54,650.53,4431200000,43484000000
2026-07-30,801760.SI,648.45,666.45,646.64,647.66,4962440000,49076690000
2026-07-31,801760.SI,642.95,691.90,642.95,686.54,6698980000,70817800000
2026-08-03,801760.SI,686.79,703.32,686.79,691.77,5964430000,69269150000
2026-08-04,801760.SI,695.85,715.60,691.21,714.17,6662850000,75060450000
2026-08-05,801760.SI,706.86,723.20,706.86,717.22,6394670000,72937820000
2026-08-06,801760.SI,711.86,718.72,697.42,704.17,5981520000,64458160000
2026-08-07,801760.SI,701.38,706.83,685.70,704.49,5601014600,61807777900
